Gene Set,TYPE,Normal Breast (Epithelial-Stromal),ER-positive (Epithelial-Stromal),ER-negative (Epithelial-Stromal),Normal Breast (Epithelial-Epithelial),ER-positive (Epithelial-Epithelial),ER-negative (Epithelial-Epithelial)
DNA_DEPENDENT_DNA_REPLICATION,GO_BP,0.966614399,0.013698294,0.854597079,0.98482921,0.780348557,0.99288741
Chanrion 2008 (Tamoxifen 36 genes),BRCA_PROG_SIG,0.526932024,0.013698294,1,0.98482921,0.194559506,0.954286763
IMMUNE_SYSTEM_PROCESS,GO_BP,0.966614399,0.013698294,1,0.98482921,0.796325585,0.99288741
Unstratified predictor,BRCA_PROG_SIG,0.966614399,0.014923892,0.000608353,0.98482921,1.30E-07,0.954286763
Alexe 2007 (lymphocytic genes),BRCA_PROG_SIG,0.953256425,0.015988258,1,0.448602426,0.95682381,0.99288741
M_PHASE_OF_MITOTIC_CELL_CYCLE,GO_BP,0.966614399,0.018505737,0.04028714,0.98482921,0.016539578,0.99288741
X16282442_BEHBOD_2006_MAMMARY_SIDE_POPULATION,CELL_TYPE_SPEC,0.966614399,0.020596791,0.04680103,0.98482921,0.000165862,0.99288741
Dai 2005 (cell proliferation),BRCA_PROG_SIG,0.858589018,0.020596791,0.105408802,0.042802086,0.000208415,0.001344857
CELL_CYCLE_PROCESS,GO_BP,0.839467348,0.023040633,0.06953965,0.98482921,0.010112854,0.99288741
M_PHASE,GO_BP,0.920119924,0.043949111,0.192582175,0.98482921,0.0009652,0.99288741
CELL_CYCLE_PHASE,GO_BP,0.936667652,0.047871409,0.264161494,0.98482921,0.045258185,0.99288741
X18414401_BECK__2008__FIBROMATOSIS,CELL_TYPE_SPEC,0.878139032,0.048120666,1,0.793515518,6.56E-83,8.82E-13
G_PROTEIN_SIGNALING_COUPLED_TO_CAMP_NUCLEOTIDE_SECOND_MESSENGER,GO_BP,0.221813126,0.048821356,0.573741801,0.476158981,0.019582865,0.046534478
MITOTIC_CELL_CYCLE,GO_BP,0.920119924,0.05078599,0.000363217,0.98482921,0.068460229,0.99288741
KEGG_DNA_REPLICATION,KEGG,0.966614399,0.05078599,0.000416831,0.98482921,0.315647392,0.99288741
Martin 2008 (22 genes),BRCA_PROG_SIG,0.966614399,0.05078599,0.036594298,0.98482921,0.236958664,0.53745162
Der 1998 (interferon induced),BRCA_PROG_SIG,0.742811901,0.05078599,0.810093634,0.98482921,0.053858988,0.99288741
G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_INHIBITING_PATHWAY,GO_BP,0.953256425,0.069066716,1,0.992470148,0.95682381,0.418973208
KEGG_CELL_CYCLE,KEGG,1,0.070135298,0.00249147,0.3645083,0.08679554,0.99288741
Finak 2008 (SDPP),BRCA_PROG_SIG,0.969755793,0.070135298,0.345960234,0.98482921,0.037602803,0.99288741
BIOGENIC_AMINE_METABOLIC_PROCESS,GO_BP,0.966614399,0.070135298,0.974069926,0.98482921,0.95682381,0.99288741
Rody 2011 (TN good prognosis),BRCA_PROG_SIG,0.966614399,0.072741837,0.277970324,0.98482921,0.767439033,0.708511792
CARBOHYDRATE_TRANSPORT,GO_BP,0.968167323,0.08070789,1,0.98482921,0.928588828,0.99288741
NEUROGENESIS,GO_BP,0.966614399,0.089768289,1,0.98482921,0.95682381,0.99288741
Landemaine 2008 (lung met predictor),BRCA_PROG_SIG,0.609454962,0.094632433,1,1,0.95682381,0.722042549
NERVOUS_SYSTEM_DEVELOPMENT,GO_BP,0.953256425,0.106630804,1,0.98482921,0.451719567,0.368393954
IMMUNE_RESPONSE,GO_BP,0.966614399,0.110341907,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_NEURON_APOPTOSIS,GO_BP,0.966614399,0.114686182,1,0.98482921,0.95682381,0.99288741
GLUTAMATE_SIGNALING_PATHWAY,GO_BP,0.966614399,0.119923682,1,0.037261931,0.427989782,0.99288741
NEUTRAL_AMINO_ACID_TRANSPORT,GO_BP,0.897648961,0.129927551,1,0.98482921,0.95682381,0.99288741
CHROMOSOME_SEGREGATION,GO_BP,0.886233455,0.14613667,0.027106448,0.98482921,0.95682381,0.99288741
ANATOMICAL_STRUCTURE_DEVELOPMENT,GO_BP,0.931578109,0.14613667,1,0.98482921,0.818283163,0.184588602
GLIOGENESIS,GO_BP,0.966614399,0.152935107,0.604633842,0.795067545,0.95682381,1
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG,0.753433048,0.157582257,0.178621002,0.683651798,0.815113108,0.99288741
NEGATIVE_REGULATION_OF_DNA_REPLICATION,GO_BP,0.966614399,0.157582257,1,0.793515518,0.732865574,0.99288741
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.159043145,1,0.15155829,0.95682381,0.99288741
Coutant 2011 (ER- 30 genes),BRCA_PROG_SIG,0.966816767,0.164076389,6.79E-05,0.98482921,0.040858589,0.99288741
NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,GO_BP,0.966614399,0.164076389,1,0.98482921,0.616772719,0.99288741
NEURON_DIFFERENTIATION,GO_BP,0.966614399,0.167232093,1,0.98482921,0.95682381,0.99288741
G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,GO_BP,0.243984124,0.170988083,0.247914272,0.98482921,0.119735719,0.129725753
West 2011 (lymphocyte 8 genes),BRCA_PROG_SIG,0.942579728,0.170988083,0.96968988,0.813512984,0.471599426,0.722042549
REGULATION_OF_CELL_PROLIFERATION,GO_BP,0.90705619,0.170988083,1,0.98482921,0.95682381,0.99288741
KEGG_OLFACTORY_TRANSDUCTION,KEGG,0.261976502,0.173922648,0.032932275,0.353074117,0.197308286,3.45E-06
Tosolini 2001 (A1 Th1 cytotoxic),BRCA_PROG_SIG,0.476616256,0.173922648,0.521237791,1,0.923517878,0.380277397
REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO_BP,0.897648961,0.173922648,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION,GO_BP,0.908966187,0.173922648,1,0.626507339,0.968196519,0.99288741
NEGATIVE_REGULATION_OF_TRANSLATION,GO_BP,0.936667652,0.173922648,1,0.784701748,0.95682381,0.99288741
NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO_BP,0.953256425,0.173922648,1,1,0.867316251,0.99288741
NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,GO_BP,0.966614399,0.173922648,1,0.98482921,0.62283844,0.99288741
X18397753_WONG_2008_HUMAN_EMBRYONIC_STEM_CELL_MODULE,CELL_TYPE_SPEC,0.98896213,0.181819812,4.27E-08,0.990999045,0.244901703,0.99288741
her2E predictor,BRCA_PROG_SIG,0.081245613,0.181819812,1,0.98482921,0.843095339,0.99288741
DNA_INTEGRITY_CHECKPOINT,GO_BP,0.966614399,0.181819812,1,0.98482921,0.182304854,0.99288741
CYTOKINESIS,GO_BP,0.966614399,0.194718924,0.37381039,0.801315952,0.038539626,0.016090409
KEGG_HOMOLOGOUS_RECOMBINATION,KEGG,0.966614399,0.198158215,1,0.98482921,0.888950261,0.99288741
KEGG_OOCYTE_MEIOSIS,KEGG,0.776097085,0.213913149,1,0.807882549,0.397069757,0.99288741
G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,GO_BP,0.400227271,0.218911104,0.154425214,0.19449365,9.27E-05,0.016090409
lumB predictor,BRCA_PROG_SIG,0.966614399,0.219017799,0.279373273,0.98482921,7.81E-06,0.99288741
normL predictor,BRCA_PROG_SIG,0.87451412,0.225922287,1,0.974481694,0.95682381,0.99288741
REGULATION_OF_ACTIN_POLYMERIZATION_AND_OR_DEPOLYMERIZATION,GO_BP,0.921214209,0.2277643,1,0.813512984,0.834800055,0.99288741
UBIQUITIN_CYCLE,GO_BP,0.541131918,0.228482213,0.156820795,0.98482921,0.95682381,0.678592704
SISTER_CHROMATID_SEGREGATION,GO_BP,0.243659125,0.229643202,0.078981344,0.98482921,0.348031955,0.99288741
NEGATIVE_REGULATION_OF_DNA_BINDING,GO_BP,0.966614399,0.229912079,0.980377872,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_CELLULAR_PROCESS,GO_BP,0.966614399,0.229912079,1,0.98482921,0.95682381,0.99288741
CELLULAR_PROTEIN_COMPLEX_ASSEMBLY,GO_BP,0.970662519,0.243067187,1,0.98482921,0.95682381,0.523682749
S_PHASE,GO_BP,0.957891178,0.244459956,0.797528269,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.24569848,1,0.899896061,0.95682381,1
INFLAMMATORY_RESPONSE,GO_BP,1,0.24569848,1,0.120598692,0.95682381,1
LYSOSOMAL_TRANSPORT,GO_BP,0.966614399,0.249200469,1,0.98482921,0.95682381,1
Tosolini 2001 (C2 T regulatory Th2),BRCA_PROG_SIG,0.585357115,0.262382431,1,0.805513151,0.95682381,0.99288741
INTERACTION_WITH_HOST,GO_BP,0.979558581,0.262659255,0.721311063,0.98482921,0.95682381,0.474730339
X21131600_CAMP_2010_UP_IN_SUM149ANDRMF,CELL_TYPE_SPEC,0.847041575,0.26542452,1,0.98482921,0.95682381,0.99288741
EPITHELIAL_CELL_DIFFERENTIATION,GO_BP,0.966614399,0.269017334,0.247914272,0.761400335,0.020968533,0.189000471
MYELOID_CELL_DIFFERENTIATION,GO_BP,0.966614399,0.269017334,0.417763624,0.98482921,0.950064643,0.99288741
DNA_REPLICATION,GO_BP,0.966614399,0.269017334,0.445555066,0.988882764,0.544246007,1
NEURON_DEVELOPMENT,GO_BP,0.966614399,0.269017334,1,0.98482921,0.95682381,0.99288741
PHAGOCYTOSIS,GO_BP,0.968446959,0.269017334,1,0.98482921,0.95682381,0.99288741
RESPONSE_TO_STRESS,GO_BP,0.997668771,0.269017334,1,0.98482921,0.95682381,1
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,0.878139032,0.269462339,0.789805103,0.98482921,0.95682381,0.99288741
DNA_REPLICATION_INITIATION,GO_BP,0.96729759,0.271090351,1,0.80403226,0.95682381,0.341797502
KEGG_MISMATCH_REPAIR,KEGG,0.966614399,0.274072782,0.00249147,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS,GO_BP,0.897648961,0.274072782,1,0.935751832,0.94710695,0.99288741
G1_PHASE,GO_BP,0.956084575,0.275514963,1,0.98482921,0.226573469,0.587130325
MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.275839345,0.48776444,0.80013841,0.381433687,0.99288741
MEIOSIS_I,GO_BP,0.966614399,0.278030876,0.491208146,0.98482921,0.757194668,0.99288741
Beck 2009 (CSF1 macrophage),BRCA_PROG_SIG,1,0.278030876,0.72339607,0.138204559,0.020546717,3.12E-11
CELL_CYCLE_ARREST_GO_0007050,GO_BP,0.980439237,0.282190192,1,0.98482921,0.95682381,0.99288741
ACTIN_FILAMENT_BASED_PROCESS,GO_BP,0.664724957,0.288536189,1,0.01198453,0.95682381,0.99288741
basalL predictor,BRCA_PROG_SIG,0.858589018,0.28933995,1,0.98482921,0.271383956,0.99288741
CELL_CELL_SIGNALING,GO_BP,0.482933873,0.289411903,0.297690627,0.885727587,0.009766013,0.782718215
RESPONSE_TO_TOXIN,GO_BP,0.297358428,0.290539916,0.373426448,0.805513151,0.95682381,0.99288741
MESODERM_DEVELOPMENT,GO_BP,0.966614399,0.291884967,0.247914272,0.98482921,0.95682381,0.99288741
DNA_METABOLIC_PROCESS,GO_BP,0.972113052,0.291884967,0.266327306,0.98482921,0.95682381,0.99288741
CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166,GO_BP,0.847916973,0.291884967,0.649410312,0.082537852,0.055937427,0.018914507
KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG,0.1961899,0.291884967,1,0.98482921,0.206883944,0.005889819
Glinsky 2005 (poor prognosis),BRCA_PROG_SIG,0.941282006,0.294761989,1,1,0.068460229,0.99288741
ACTIN_FILAMENT_ORGANIZATION,GO_BP,0.528180684,0.296480124,1,0.98482921,0.95682381,1
PROTEIN_POLYMERIZATION,GO_BP,0.528180684,0.296480124,1,0.275800035,0.95682381,1
N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION,GO_BP,0.966614399,0.296480124,1,1,0.963968633,1
KEGG_TRYPTOPHAN_METABOLISM,KEGG,0.731017251,0.298074211,1,0.974481694,0.95682381,0.782718215
Nimeus-malmstrom 2008 (local recurrence),BRCA_PROG_SIG,0.966614399,0.298831652,0.655941193,0.002028778,0.501479605,0.99288741
Bertucci 2006 (ductal vs medullary),BRCA_PROG_SIG,0.966614399,0.298831652,1,0.98482921,0.95682381,1
DEFENSE_RESPONSE,GO_BP,0.972113052,0.298831652,1,0.252107221,0.709762881,1
REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,GO_BP,0.966614399,0.299342731,1,0.98482921,0.50059845,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG,0.966816767,0.299662077,1,0.98482921,0.969947871,0.99288741
CHROMOSOME_CONDENSATION,GO_BP,0.734623166,0.300044391,0.086466147,1,0.95682381,0.954286763
ACTIN_FILAMENT_POLYMERIZATION,GO_BP,0.956469499,0.30141351,0.105408802,0.879186973,0.95682381,1
MITOTIC_SISTER_CHROMATID_SEGREGATION,GO_BP,0.157869838,0.30141351,0.156161506,0.98482921,0.22646388,0.99288741
CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS,GO_BP,0.039025569,0.30141351,0.163949887,0.98482921,0.038978842,0.885659872
ANATOMICAL_STRUCTURE_FORMATION,GO_BP,0.966614399,0.30141351,0.560220745,0.98482921,0.843095339,0.765198178
CALCIUM_INDEPENDENT_CELL_CELL_ADHESION,GO_BP,0.966614399,0.30141351,0.604633842,0.727452279,0.915910377,0.99288741
SMOOTH_MUSCLE_CONTRACTION_GO_0006939,GO_BP,0.966614399,0.30141351,0.690286895,0.98482921,0.360778048,0.876208421
REGULATION_OF_MOLECULAR_FUNCTION,GO_BP,0.966614399,0.30141351,0.785758255,0.98482921,0.331721624,0.99288741
NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,GO_BP,0.920119924,0.30141351,1,0.956891426,0.880638212,0.99288741
Rody 2009 (MHC II),BRCA_PROG_SIG,0.941282006,0.30141351,1,0.829926384,0.95682381,0.722042549
MACROMOLECULAR_COMPLEX_ASSEMBLY,GO_BP,0.966614399,0.30141351,1,0.986005804,0.95682381,0.99288741
VACUOLAR_TRANSPORT,GO_BP,0.966614399,0.30141351,1,0.98482921,0.95682381,1
RESPONSE_TO_WOUNDING,GO_BP,0.969755793,0.30141351,1,0.524365392,0.95682381,1
NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO_BP,0.878139032,0.303715128,1,0.98482921,0.95682381,0.99288741
KEGG_TASTE_TRANSDUCTION,KEGG,0.223716643,0.30747454,0.772549345,0.98482921,0.223521931,0.99288741
ORGAN_MORPHOGENESIS,GO_BP,0.878139032,0.308493638,1,0.98482921,0.95682381,0.046534478
KEGG_WNT_SIGNALING_PATHWAY,KEGG,0.416302449,0.312356282,1,0.98482921,0.964179203,0.99288741
CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,GO_BP,0.969755793,0.312356282,1,0.98482921,0.880638212,0.99288741
NEGATIVE_REGULATION_OF_CELL_ADHESION,GO_BP,0.966614399,0.315049864,0.370472804,0.98482921,0.95682381,0.99288741
RESPONSE_TO_DNA_DAMAGE_STIMULUS,GO_BP,1,0.315581324,0.764507625,0.98714369,0.95682381,0.99288741
POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.450706247,0.316695504,0.496126563,0.98482921,0.95682381,1
KEGG_AXON_GUIDANCE,KEGG,0.482833342,0.316773578,1,0.98482921,0.95682381,1
Tosolini 2001 (B3 Th2),BRCA_PROG_SIG,0.966614399,0.316773578,1,1,0.808948422,0.99288741
CARBOHYDRATE_CATABOLIC_PROCESS,GO_BP,0.063137217,0.317239945,0.521237791,0.98482921,0.209492862,0.341797502
RESPONSE_TO_VIRUS,GO_BP,0.776097085,0.317573478,1,0.98482921,0.197308286,0.99288741
Rody 2009 (immunoglobulin gamma),BRCA_PROG_SIG,0.966614399,0.322903523,1,1,1,1
S_PHASE_OF_MITOTIC_CELL_CYCLE,GO_BP,0.966614399,0.327532379,0.706578443,0.98482921,0.329131933,0.99288741
REGULATION_OF_CELLULAR_COMPONENT_SIZE,GO_BP,0.83593455,0.327532379,1,0.956891426,0.510738514,0.99288741
ADENYLATE_CYCLASE_ACTIVATION,GO_BP,0.356636269,0.328131959,0.683165546,0.98482921,0.001827492,0.722042549
Rody 2009 (hemopoietic cell kinase),BRCA_PROG_SIG,0.966614399,0.331912695,0.616342753,0.98482921,0.053441576,9.93E-13
TRANSMISSION_OF_NERVE_IMPULSE,GO_BP,0.063137217,0.340920661,0.067336886,0.306749735,0.049077069,0.002906126
TRANSLATION,GO_BP,0.243984124,0.34632027,1,0.00010225,0.140226773,1
KEGG_VIBRIO_CHOLERAE_INFECTION,KEGG,0.87809746,0.34632027,1,0.98482921,0.968196519,0.99288741
DNA_REPAIR,GO_BP,0.983326411,0.34632027,1,1,0.95682381,0.99288741
PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,GO_BP,0.64110093,0.349519026,0.067846309,0.98482921,0.776265867,0.415025806
NEGATIVE_REGULATION_OF_BINDING,GO_BP,0.966614399,0.349519026,0.328196779,0.98482921,0.726306235,0.949689743
REGULATION_OF_CELL_SHAPE,GO_BP,0.770514742,0.351671762,1,0.98482921,1,1
LIPID_BIOSYNTHETIC_PROCESS,GO_BP,0.941282006,0.351671762,1,0.986005804,0.95682381,0.99288741
Bianchini 2010 (22 genes),BRCA_PROG_SIG,0.776097085,0.353309735,0.002658914,0.98482921,0.932888842,0.949689743
NEURON_APOPTOSIS,GO_BP,0.968446959,0.353309735,1,0.98482921,0.95682381,0.99288741
KEGG_STEROID_BIOSYNTHESIS,KEGG,0.261976502,0.353364564,0.919018012,0.98482921,0.95682381,0.99288741
VASCULATURE_DEVELOPMENT,GO_BP,0.966614399,0.357325491,1,0.98482921,0.888351311,0.312960003
BODY_FLUID_SECRETION,GO_BP,0.966614399,0.357329599,0.446388791,0.98482921,0.106701493,0.28100228
NEUROPEPTIDE_SIGNALING_PATHWAY,GO_BP,0.02655801,0.357329599,1,0.752940184,0.114796835,0.99288741
CELLULAR_COMPONENT_ASSEMBLY,GO_BP,0.966614399,0.35796398,1,1,0.95682381,0.418973208
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,0.232067633,0.361001792,1,0.935751832,0.95682381,1
Landemaine 2008 (lung met associated),BRCA_PROG_SIG,0.482833342,0.361001792,1,1,0.95682381,0.086667455
REGULATION_OF_CELL_MORPHOGENESIS,GO_BP,0.966614399,0.361001792,1,0.98482921,1,1
CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS,GO_BP,0.506401588,0.36809254,0.250645083,0.98482921,0.079600319,0.99288741
REGULATION_OF_CELL_CYCLE,GO_BP,0.966614399,0.36809254,0.393061203,0.98482921,0.348031955,1
Ursini-Siegel 2010 (immune 43 genes),BRCA_PROG_SIG,0.664199758,0.36809254,0.665788792,0.986005804,0.798540201,0.99288741
CENTROSOME_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.36809254,0.683957558,0.813512984,0.381433687,0.99288741
NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO_BP,0.966614399,0.36809254,0.756110611,0.98482921,0.95682381,1
REGULATION_OF_CATALYTIC_ACTIVITY,GO_BP,0.966614399,0.36809254,0.924767643,0.993769472,0.429622329,0.99288741
RECEPTOR_MEDIATED_ENDOCYTOSIS,GO_BP,0.159978337,0.36809254,1,0.98482921,0.95682381,0.901949043
CALCIUM_ION_TRANSPORT,GO_BP,0.278176595,0.36809254,1,0.98482921,0.95682381,0.99288741
CELL_SUBSTRATE_ADHESION,GO_BP,0.966614399,0.36809254,1,0.784701748,0.69613134,0.262307583
RESPIRATORY_GASEOUS_EXCHANGE,GO_BP,0.966614399,0.36809254,1,0.98482921,0.95682381,0.99288741
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,KEGG,0.78810285,0.37443952,1,0.305965678,0.798540201,0.765198178
GENERATION_OF_NEURONS,GO_BP,0.966614399,0.382842562,1,0.98482921,0.95682381,0.99288741
RNA_EXPORT_FROM_NUCLEUS,GO_BP,0.966614399,0.383878562,0.086558985,0.98482921,0.95682381,1
KEGG_FOLATE_BIOSYNTHESIS,KEGG,0.966614399,0.383878562,0.40778389,0.760996668,0.95682381,0.99288741
SENSORY_PERCEPTION_OF_TASTE,GO_BP,0.289325386,0.383878562,0.603072051,0.98482921,0.95682381,0.625861455
ACTIN_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.742811901,0.383878562,1,7.11E-05,0.95682381,0.99288741
CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS,GO_BP,0.956084575,0.383878562,1,0.813512984,0.95682381,0.99288741
KEGG_PYRIMIDINE_METABOLISM,KEGG,0.966614399,0.389343321,0.909568532,0.98482921,0.695562386,0.994285002
NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO_BP,0.75032196,0.390501193,0.247933936,0.98482921,0.95682381,0.99288741
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,KEGG,0.966614399,0.393489045,0.501834054,0.98482921,0.456960445,0.99288741
REGULATION_OF_MITOSIS,GO_BP,0.966614399,0.395361685,0.623833758,0.98482921,0.050866297,0.99288741
KEGG_DORSO_VENTRAL_AXIS_FORMATION,KEGG,0.966614399,0.397264348,1,0.98482921,0.95682381,0.99288741
MYELOID_LEUKOCYTE_DIFFERENTIATION,GO_BP,0.966614399,0.398407904,0.870970673,0.683651798,0.95682381,0.99288741
TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,GO_BP,0.406588793,0.399360611,1,0.98482921,0.302993781,0.653760913
GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,GO_BP,0.966614399,0.399360611,1,0.98482921,0.95682381,0.99288741
Paik 2004 (OncotypeDX),BRCA_PROG_SIG,0.966614399,0.403109131,0.439465401,0.763972432,0.785453342,0.99288741
NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY,GO_BP,0.966614399,0.403109131,0.958546592,1,0.95682381,0.99288741
REGULATION_OF_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.731017251,0.403109131,1,0.860958638,0.726306235,0.99288741
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,GO_BP,0.968446959,0.403109131,1,0.793515518,0.95682381,0.929720143
ANTI_APOPTOSIS,GO_BP,0.78810285,0.409412543,0.191922726,0.98482921,0.95682381,0.99288741
BEHAVIOR,GO_BP,0.593206171,0.409412543,0.635642646,0.98482921,0.462362063,0.722042549
ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO_BP,0.936667652,0.409412543,1,0.115549084,0.939283093,0.99288741
RESPONSE_TO_ENDOGENOUS_STIMULUS,GO_BP,0.968446959,0.413471382,1,0.98714369,0.95682381,1
MRNA_SPLICE_SITE_SELECTION,GO_BP,0.837510698,0.421142277,1,0.793515518,0.95682381,0.99288741
CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS,GO_BP,0.968446959,0.421142277,1,1,0.95682381,0.765198178
REGULATION_OF_PROTEIN_POLYMERIZATION,GO_BP,0.835679011,0.42132763,0.155115441,0.070440545,0.95682381,1
AGING,GO_BP,0.837510698,0.42132763,1,0.902362887,0.654072857,1
