	NormDegree	StromaNorm	EpiNorm	BrPDegree	StromaBrP	EpiBrP	BrNDegree	StromaBrN	EpiBrN	norm.self	erp.self	ern.self
NRP1	3	3	0	2	0	2	4	4	0	0	0	0
OLFML3	3	3	0	0	0	0	0	0	0	0	0	0
PCOLCE	9	9	0	0	0	0	1	0	1	0	0	0
PDGFC	2	2	0	3	2	1	0	0	0	0	0	0
PMP22	0	0	0	1	0	1	0	0	0	0	0	0
POSTN	0	0	0	1	1	0	0	0	0	0	0	0
PPAP2B	0	0	0	0	0	0	2	0	2	0	0	0
PPM1D	0	0	0	0	0	0	1	0	1	0	0	0
PRR16	1	0	1	3	2	1	0	0	0	0	0	0
PRRX1	4	4	0	0	0	0	0	0	0	0	0	0
PTGER2	0	0	0	0	0	0	1	1	0	0	0	0
PTX3	0	0	0	1	0	1	1	1	0	0	0	0
PVRL3	0	0	0	1	0	1	3	3	0	0	0	0
RGL1	1	1	0	0	0	0	1	0	1	0	0	0
RGS4	0	0	0	0	0	0	2	2	0	0	0	0
ROR1	1	1	0	1	1	0	9	8	1	0	0	0
SCCPDH	1	1	0	0	0	0	0	0	0	0	0	0
SEMA5A	0	0	0	3	0	3	2	0	2	0	0	0
SPOCK1	0	0	0	3	1	2	0	0	0	0	1	0
SRGN	0	0	0	0	0	0	1	0	1	0	0	0
STARD13	1	1	0	0	0	0	1	0	1	0	0	0
STC1	1	0	1	2	1	1	0	0	0	0	1	0
TAGLN	0	0	0	1	0	1	0	0	0	0	0	0
TBX3	0	0	0	2	2	0	0	0	0	0	0	0
TGFB1I1	1	0	1	0	0	0	0	0	0	0	0	0
THY1	12	0	12	5	0	5	0	0	0	0	0	0
TNFAIP6	1	0	1	1	0	1	2	1	1	0	0	0
TNS3	2	0	2	3	1	2	0	0	0	0	0	0
TPM1	0	0	0	1	1	0	0	0	0	0	0	0
TRAM2	1	0	1	0	0	0	0	0	0	0	0	0
TUBA1A	2	0	2	0	0	0	0	0	0	0	0	0
UGDH	0	0	0	2	1	1	4	3	1	0	0	0
VIM	2	2	0	0	0	0	1	1	0	0	0	0
XYLT1	0	0	0	3	2	1	0	0	0	0	0	0
ZBTB38	0	0	0	1	1	0	0	0	0	0	0	0
ZEB1	1	1	0	4	3	1	0	0	0	0	0	0
ABCA12	18	3	15	5	3	2	9	8	1	0	1	0
ABLIM1	2	0	2	0	0	0	0	0	0	0	0	0
ALDH1A3	0	0	0	2	1	1	0	0	0	0	1	0
ALOX15B	6	3	3	0	0	0	6	6	0	1	0	0
ANK3	0	0	0	3	1	2	1	1	0	0	1	0
ANXA3	0	0	0	4	3	1	0	0	0	0	1	0
ARHGAP25	6	0	6	1	1	0	0	0	0	0	0	0
ARHGAP8	2	1	1	3	0	3	1	0	1	0	0	0
ARTN	0	0	0	1	0	1	1	1	0	0	0	0
BIK	0	0	0	0	0	0	2	0	2	0	0	0
C10orf10	1	0	1	0	0	0	0	0	0	0	0	0
C10orf116	2	0	2	11	10	1	0	0	0	0	1	0
C1orf116	2	0	2	0	0	0	4	3	1	0	0	0
C6orf105	0	0	0	0	0	0	1	1	0	0	0	0
CA2	4	0	4	2	1	1	0	0	0	0	1	0
CA9	3	2	1	0	0	0	1	1	0	0	0	0
CAMK2B	0	0	0	8	5	3	1	0	1	0	1	0
CCND2	0	0	0	1	0	1	2	2	0	0	0	0
CDH1	0	0	0	0	0	0	6	6	0	0	0	0
CDH3	0	0	0	19	8	11	5	2	3	0	1	1
CDS1	0	0	0	0	0	0	1	1	0	0	0	0
CELSR2	4	4	0	5	4	1	1	1	0	0	1	0
CLDN1	4	1	3	2	1	1	1	1	0	0	0	0
COL17A1	0	0	0	1	0	1	0	0	0	0	0	0
CORO1A	7	3	4	3	1	2	6	1	5	0	0	0
CST6	0	0	0	2	1	1	5	4	1	0	1	0
CTSL2	0	0	0	6	0	6	0	0	0	0	0	0
CXADR	1	0	1	0	0	0	1	0	1	0	0	0
CYP27B1	0	0	0	1	1	0	0	0	0	0	0	0
CYP4F11	1	1	0	0	0	0	1	1	0	0	0	0
DSC2	0	0	0	3	3	0	14	1	13	0	0	0
DSG3	5	0	5	11	7	4	14	3	11	0	0	1
E2F5	1	1	0	7	0	7	2	0	2	0	0	0
ELMO3	3	2	1	10	4	6	4	2	2	0	1	0
EPB41L4B	1	0	1	2	0	2	1	1	0	0	0	0
EPHA1	3	0	3	0	0	0	4	4	0	0	0	0
EXPH5	8	0	8	3	2	1	0	0	0	0	0	0
FAT2	1	0	1	2	0	2	0	0	0	0	0	0
FGFBP1	0	0	0	2	0	2	3	0	3	0	0	0
FGFR2	1	0	1	0	0	0	2	1	1	0	0	1
FGFR3	0	0	0	2	1	1	0	0	0	0	1	0
FZD3	3	1	2	5	1	4	1	0	1	0	0	0
GJB3	0	0	0	5	5	0	0	0	0	0	0	0
GLS2	0	0	0	8	0	8	0	0	0	0	0	0
GNAL	3	3	0	2	1	1	1	0	1	0	0	0
GRHL2	0	0	0	0	0	0	7	5	2	0	0	0
HBEGF	2	0	2	0	0	0	2	0	2	0	0	0
HOOK1	0	0	0	1	1	0	15	2	13	0	0	0
IFI30	0	0	0	17	12	5	0	0	0	0	1	0
IGFBP2	0	0	0	2	0	2	3	1	2	0	0	0
IL18	0	0	0	2	2	0	0	0	0	0	0	0
IL1B	0	0	0	1	1	0	2	0	2	0	0	0
IL1RN	0	0	0	0	0	0	3	3	0	0	0	0
IL4R	0	0	0	0	0	0	2	1	1	0	0	1
IRX4	0	0	0	2	1	1	0	0	0	0	0	0
ITGB4	0	0	0	2	2	0	0	0	0	0	0	0
JAG2	1	0	1	0	0	0	0	0	0	0	0	0
JUP	3	1	2	0	0	0	3	0	3	0	0	0
KCNK1	0	0	0	2	1	1	0	0	0	0	1	0
KLK10	1	0	1	1	1	0	8	1	7	0	0	1
KLK5	0	0	0	0	0	0	1	0	1	0	0	0
KLK7	2	1	1	6	5	1	0	0	0	0	0	0
KLK8	1	1	0	1	1	0	0	0	0	0	0	0
KRT14	0	0	0	2	1	1	2	2	0	0	1	0
KRT15	0	0	0	3	2	1	0	0	0	0	1	0
KRT16	6	4	2	4	3	1	16	9	7	0	0	1
KRT17	0	0	0	2	0	2	14	2	12	0	0	1
KRT18	1	1	0	0	0	0	1	1	0	0	0	0
KRT5	0	0	0	7	4	3	10	8	2	0	1	1
KRT6B	2	2	0	8	3	5	1	1	0	0	1	0
LAD1	0	0	0	0	0	0	3	1	2	0	0	0
LEPREL1	2	1	1	5	3	2	1	0	1	0	1	0
LGALS7	1	0	1	17	15	2	1	0	1	0	0	0
LRRC1	0	0	0	0	0	0	1	0	1	0	0	0
LSR	0	0	0	1	0	1	15	10	5	0	0	1
MST1R	0	0	0	2	2	0	0	0	0	0	0	0
MYO5C	29	29	0	2	0	2	1	1	0	0	0	0
NDRG1	1	1	0	0	0	0	6	2	4	0	0	1
NEFM	0	0	0	1	1	0	9	0	9	0	0	0
NMU	0	0	0	3	1	2	0	0	0	0	1	0
NUP62CL	0	0	0	0	0	0	3	0	3	0	0	0
PERP	0	0	0	0	0	0	7	3	4	0	0	0
PI3	1	0	1	9	5	4	4	2	2	0	0	1
PLS1	1	0	1	2	1	1	0	0	0	0	0	0
POLR3G	0	0	0	1	0	1	4	3	1	0	0	0
PRRG4	1	0	1	0	0	0	0	0	0	0	0	0
PRSS8	1	0	1	0	0	0	9	8	1	0	0	0
PTPN3	1	0	1	1	1	0	3	2	1	0	0	0
RAB25	1	0	1	3	0	3	3	2	1	0	0	0
RHBDF2	0	0	0	2	0	2	0	0	0	0	0	0
RHOD	3	3	0	1	1	0	1	1	0	0	0	0
RLN2	0	0	0	5	4	1	2	2	0	0	0	0
RNF128	13	0	13	4	1	3	1	1	0	0	1	0
RPS6KA1	1	0	1	1	0	1	1	0	1	0	0	0
RTEL1	0	0	0	7	7	0	0	0	0	0	0	0
S100A14	1	0	1	4	1	3	6	5	1	0	1	1
S100A7	4	4	0	6	5	1	8	6	2	0	1	1
S100A8	0	0	0	8	4	4	5	4	1	0	1	1
SERPINB1	4	4	0	1	1	0	0	0	0	0	0	0
SERPINB2	1	1	0	2	0	2	6	3	3	0	0	1
SH2D3A	0	0	0	0	0	0	1	1	0	0	0	0
SLC2A9	3	3	0	0	0	0	0	0	0	0	0	0
SLC6A8	7	6	1	1	1	0	1	0	1	0	0	0
SLPI	0	0	0	5	4	1	3	2	1	0	1	1
SMPDL3B	5	1	4	1	0	1	0	0	0	0	0	0
SNCA	2	0	2	1	0	1	3	0	3	0	0	0
SNX10	0	0	0	2	1	1	1	0	1	0	0	0
SPINT2	1	1	0	1	1	0	10	10	0	0	0	0
SPRR1A	0	0	0	0	0	0	2	1	1	0	0	0
SPRR1B	0	0	0	3	3	0	7	2	5	0	0	1
ST14	1	1	0	0	0	0	2	1	1	0	0	0
STAC	6	0	6	0	0	0	0	0	0	0	0	0
STAP2	2	2	0	0	0	0	1	0	1	0	0	0
SYK	0	0	0	4	4	0	0	0	0	0	0	0
THBD	1	1	0	4	0	4	4	0	4	0	0	0
TMEM30B	1	0	1	1	0	1	3	1	2	0	0	1
TMEM40	0	0	0	18	10	8	0	0	0	0	1	0
TMPRSS4	0	0	0	0	0	0	7	0	7	0	0	0
TRIM29	1	0	1	1	0	1	11	7	4	0	0	1
TSPAN1	1	0	1	0	0	0	0	0	0	0	0	0
UCHL1	8	0	8	5	2	3	3	2	1	0	0	1
VSNL1	1	0	1	2	1	1	0	0	0	0	0	0
WWC1	2	0	2	0	0	0	3	3	0	0	0	0
XDH	0	0	0	0	0	0	8	5	3	0	0	0
ZBED2	8	0	8	2	0	2	0	0	0	0	0	0
ZNF165	0	0	0	2	2	0	0	0	0	0	0	0
DSC3	0	0	0	38	33	5	16	12	4	0	1	1
VGLL1	0	0	0	9	5	4	4	3	1	0	1	1
AQP3	1	1	0	2	1	1	3	2	1	0	1	1
SLC7A5	1	0	1	15	13	2	23	21	2	0	1	1
SFN	3	1	2	2	1	1	16	15	1	0	1	1
S100A2	0	0	0	10	7	3	7	4	3	0	1	1
MAST4	8	1	7	2	1	1	2	1	1	0	1	1
CHD7	1	0	1	3	1	2	3	2	1	0	1	1
SERPINB5	18	0	18	13	10	3	12	7	5	0	1	1
SCNN1A	3	3	0	6	1	5	0	0	0	0	1	0
TPD52L1	0	0	0	2	1	1	0	0	0	0	1	0
CLCA2	0	0	0	3	2	1	3	1	2	0	0	1
GPR87	6	0	6	5	1	4	3	1	2	0	0	1
MALL	1	1	0	5	2	3	3	2	1	0	0	1
RAB38	2	1	1	3	2	1	0	0	0	0	1	0
TPD52	0	0	0	0	0	0	15	14	1	0	0	1
GPR56	0	0	0	8	3	5	5	4	1	0	1	0
FLRT3	0	0	0	4	2	2	0	0	0	0	1	0
CELSR1	0	0	0	3	2	1	0	0	0	0	1	0
ARNTL2	12	1	11	7	2	5	0	0	0	0	1	0
SLC39A8	2	0	2	3	2	1	0	0	0	0	1	0
GALNT3	1	1	0	2	1	1	5	0	5	0	1	0
S100A9	0	0	0	4	2	2	5	3	2	0	1	0
RIPK4	0	0	0	14	13	1	0	0	0	0	1	0
SORD	1	1	0	1	1	0	2	1	1	0	0	1
IER3	2	0	2	2	1	1	0	0	0	0	1	0
ZHX2	1	0	1	4	3	1	0	0	0	0	1	0
FABP5	0	0	0	1	0	1	2	1	1	0	0	1
AGR2	0	0	0	3	1	2	1	0	1	0	1	0
KIAA0895	1	1	0	0	0	0	7	1	6	0	0	1
CA12	3	0	3	6	4	2	0	0	0	0	1	0
COL4A6	1	1	0	4	1	3	0	0	0	0	1	0
SEMA3F	0	0	0	4	2	2	0	0	0	0	1	0
DAPP1	0	0	0	5	2	3	11	7	4	0	0	1
GFOD1	1	0	1	4	1	3	1	0	1	0	1	0
MTAP	2	0	2	11	8	3	1	0	1	0	1	0
SIRT5	0	0	0	1	1	0	12	4	8	0	0	1
AGPAT5	0	0	0	0	0	0	15	2	13	0	0	1
AIM1	6	6	0	2	1	1	0	0	0	0	1	0
SERPINB3	4	0	4	3	0	3	13	7	6	0	0	1
COX17	0	0	0	6	5	1	0	0	0	0	1	0
ISG20L2	1	1	0	0	0	0	31	2	29	0	0	1
HSPA4L	1	0	1	2	1	1	13	3	10	0	0	1
CSNK1A1	0	0	0	5	2	3	0	0	0	0	1	0
KIF3A	2	2	0	2	1	1	0	0	0	0	1	0
RAD50	0	0	0	17	4	13	0	0	0	0	1	0
HTATIP2	0	0	0	5	2	3	2	0	2	0	1	0
UCHL3	1	1	0	2	1	1	1	1	0	0	1	0
GART	1	1	0	2	2	0	25	15	10	0	0	1
BCL11A	4	0	4	4	2	2	3	2	1	0	0	1
PSMD12	1	1	0	12	10	2	0	0	0	0	1	0
C9orf46	0	0	0	4	3	1	0	0	0	0	1	0
ABCE1	0	0	0	0	0	0	11	2	9	0	0	1
IL1A	4	4	0	0	0	0	0	0	0	0	0	0
FXYD3	0	0	0	1	0	1	8	7	1	0	0	0
SERPINB13	4	0	4	1	0	1	1	0	1	0	0	0
MAP7	1	0	1	0	0	0	0	0	0	0	0	0
SPINT1	1	1	0	1	1	0	4	4	0	0	0	0
CNTNAP2	0	0	0	0	0	0	2	2	0	0	0	0
PRR5	0	0	0	0	0	0	1	1	0	0	0	0
LAMA3	0	0	0	2	1	1	1	1	0	0	0	0
LAMB3	0	0	0	2	1	1	2	2	0	0	0	0
NRG1	0	0	0	5	5	0	3	2	1	0	0	0
MMP9	0	0	0	2	1	1	0	0	0	0	0	0
GJB5	15	0	15	2	1	1	0	0	0	0	0	0
MAPK13	3	0	3	0	0	0	1	1	0	0	0	0
CSTA	0	0	0	5	4	1	2	2	0	0	0	0
MBP	3	0	3	0	0	0	0	0	0	0	0	0
SOX15	0	0	0	0	0	0	1	0	1	0	0	0
MFAP5	1	0	1	1	1	0	1	0	1	0	0	0
DSP	0	0	0	0	0	0	15	12	3	0	0	0
PKP3	1	1	0	0	0	0	5	3	2	0	0	0
SFRP1	0	0	0	4	2	2	0	0	0	0	0	0
PLA2G4A	0	0	0	4	0	4	0	0	0	0	0	0
PTHLH	0	0	0	9	3	6	5	3	2	0	0	0
SORL1	3	0	3	0	0	0	0	0	0	0	0	0
DDR1	4	0	4	1	0	1	1	1	0	0	0	0
LYN	0	0	0	2	1	1	0	0	0	0	0	0
P2RX5	0	0	0	3	1	2	0	0	0	0	0	0
PKP2	0	0	0	0	0	0	1	1	0	0	0	0
GCLC	1	1	0	1	1	0	0	0	0	0	0	0
PARP12	1	1	0	4	0	4	0	0	0	0	0	0
ARHGEF3	0	0	0	0	0	0	1	0	1	0	0	0
EPN3	0	0	0	2	0	2	5	3	2	0	0	0
F12	1	0	1	1	1	0	4	3	1	0	0	0
PRKCZ	1	1	0	0	0	0	0	0	0	0	0	0
ARG2	9	3	6	0	0	0	7	4	3	0	0	0
CNTN1	3	2	1	1	1	0	0	0	0	0	0	0
CCNA1	0	0	0	0	0	0	1	0	1	0	0	0
CASP1	0	0	0	4	4	0	0	0	0	0	0	0
EPS8L1	0	0	0	1	1	0	0	0	0	0	0	0
TNFSF10	5	2	3	0	0	0	0	0	0	0	0	0
KIAA1598	1	1	0	1	0	1	0	0	0	0	0	0
SDC1	1	0	1	0	0	0	0	0	0	0	0	0
CD44	0	0	0	1	0	1	0	0	0	0	0	0
HS3ST1	0	0	0	2	2	0	1	1	0	0	0	0
SRCAP	1	1	0	2	0	2	2	2	0	0	0	0
PTPRF	0	0	0	4	4	0	1	1	0	0	0	0
CSH2	1	0	1	0	0	0	0	0	0	0	0	0
PLXNB1	0	0	0	2	0	2	0	0	0	0	0	0
F3	8	1	7	0	0	0	0	0	0	0	0	0
ST6GAL1	2	2	0	0	0	0	0	0	0	0	0	0
TFCP2L1	0	0	0	1	0	1	1	1	0	0	0	0
OVOL2	5	0	5	0	0	0	1	0	1	0	0	0
MPPE1	3	0	3	0	0	0	0	0	0	0	0	0
MCTP2	3	0	3	6	1	5	3	2	1	0	0	0
PSTPIP2	0	0	0	1	1	0	1	1	0	0	0	0
GPR126	2	0	2	0	0	0	0	0	0	0	0	0
MOSC1	10	10	0	1	1	0	2	0	2	0	0	0
DFNA5	2	0	2	0	0	0	4	2	2	0	0	0
CLTB	1	1	0	5	5	0	5	0	5	0	0	0
ERBB3	3	2	1	1	1	0	1	1	0	0	0	0
MARK1	1	0	1	0	0	0	0	0	0	0	0	0
GM2A	0	0	0	0	0	0	3	3	0	0	0	0
SLC31A2	0	0	0	0	0	0	2	1	1	0	0	0
PPIF	5	2	3	0	0	0	0	0	0	0	0	0
RNF44	1	0	1	0	0	0	0	0	0	0	0	0
GNA15	0	0	0	1	1	0	0	0	0	0	0	0
ALS2CL	0	0	0	1	0	1	0	0	0	0	0	0
GMDS	1	0	1	1	0	1	0	0	0	0	0	0
P2RY2	1	0	1	1	1	0	0	0	0	0	0	0
TBC1D4	2	2	0	0	0	0	0	0	0	0	0	0
AJAP1	3	0	3	1	0	1	10	4	6	0	0	0
MYO1E	0	0	0	0	0	0	1	0	1	0	0	0
CTNNBIP1	1	0	1	1	0	1	0	0	0	0	0	0
PLAC1	0	0	0	0	0	0	1	0	1	0	0	0
CLDN7	1	1	0	0	0	0	2	2	0	0	0	0
LTB	1	1	0	5	5	0	2	2	0	0	0	0
DHRS1	1	1	0	2	1	1	1	1	0	0	0	0
ENC1	1	1	0	0	0	0	2	1	1	0	0	0
TCOF1	1	0	1	0	0	0	0	0	0	0	0	0
CTSC	1	1	0	7	7	0	0	0	0	0	0	0
PTAFR	0	0	0	3	0	3	1	1	0	0	0	0
MOBKL2B	0	0	0	1	0	1	0	0	0	0	0	0
CD9	1	1	0	0	0	0	0	0	0	0	0	0
ASB13	1	1	0	8	8	0	0	0	0	0	0	0
PAK6	3	3	0	4	0	4	0	0	0	0	0	0
TNIP1	1	0	1	1	0	1	0	0	0	0	0	0
KIAA1609	1	0	1	4	3	1	0	0	0	0	0	0
ABCG2	1	0	1	1	0	1	12	11	1	0	0	0
FOXA2	1	0	1	1	1	0	5	0	5	0	0	0
HOXA1	1	1	0	0	0	0	1	1	0	0	0	0
RIMS3	1	1	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	3	2	1	0	0	0	0	0	0
IL15RA	0	0	0	1	1	0	0	0	0	0	0	0
SLC39A4	1	1	0	1	0	1	1	0	1	0	0	0
MCCC2	0	0	0	2	0	2	1	0	1	0	0	0
RAC2	1	1	0	0	0	0	1	1	0	0	0	0
KLHL23	7	7	0	0	0	0	0	0	0	0	0	0
FAM49B	1	0	1	4	0	4	0	0	0	0	0	0
IVL	4	0	4	2	0	2	0	0	0	0	0	0
HSD17B8	0	0	0	4	3	1	1	0	1	0	0	0
ACOT11	5	5	0	0	0	0	1	0	1	0	0	0
PLA2G12A	0	0	0	0	0	0	1	0	1	0	0	0
HMOX2	4	0	4	0	0	0	0	0	0	0	0	0
DUS4L	0	0	0	1	0	1	2	0	2	0	0	0
VAMP8	0	0	0	0	0	0	4	4	0	0	0	0
SLC43A3	0	0	0	1	1	0	4	4	0	0	0	0
ANKRD46	2	0	2	0	0	0	2	1	1	0	0	0
CARD10	0	0	0	2	1	1	0	0	0	0	0	0
SPRY4	3	3	0	1	0	1	1	1	0	0	0	0
BLNK	0	0	0	1	0	1	0	0	0	0	0	0
STOM	3	3	0	3	1	2	0	0	0	0	0	0
MXI1	1	0	1	0	0	0	1	1	0	0	0	0
WDR67	0	0	0	1	1	0	7	7	0	0	0	0
MAP2K3	0	0	0	1	0	1	0	0	0	0	0	0
AIM1L	27	17	10	2	0	2	0	0	0	0	0	0
CBLC	3	3	0	0	0	0	1	0	1	0	0	0
ARHGEF5	0	0	0	4	4	0	9	9	0	0	0	0
TUBAL3	5	5	0	1	1	0	0	0	0	0	0	0
CETN3	2	0	2	0	0	0	0	0	0	0	0	0
NOLC1	0	0	0	1	0	1	7	1	6	0	0	0
AGL	4	0	4	0	0	0	0	0	0	0	0	0
GRPEL1	0	0	0	0	0	0	6	0	6	0	0	0
FKBP4	0	0	0	0	0	0	1	1	0	0	0	0
APRT	1	0	1	1	1	0	2	2	0	0	0	0
YRDC	0	0	0	0	0	0	1	0	1	0	0	0
DIAPH1	1	1	0	1	1	0	0	0	0	0	0	0
SLC35F2	0	0	0	1	0	1	0	0	0	0	0	0
DUSP2	1	1	0	0	0	0	0	0	0	0	0	0
PEX5	1	0	1	2	1	1	8	0	8	0	0	0
EXTL3	0	0	0	3	0	3	0	0	0	0	0	0
ZNF692	1	1	0	1	0	1	1	1	0	0	0	0
TFAP2A	0	0	0	1	0	1	1	1	0	0	0	0
STXBP2	11	10	1	2	0	2	1	0	1	0	0	0
PLEKHG3	1	1	0	0	0	0	0	0	0	0	0	0
WWP1	0	0	0	1	0	1	0	0	0	0	0	0
PIM1	0	0	0	1	0	1	0	0	0	0	0	0
MTM1	1	0	1	2	2	0	1	1	0	0	0	0
ME2	1	1	0	2	0	2	0	0	0	0	0	0
ANKRD5	6	2	4	0	0	0	0	0	0	0	0	0
B3GNT3	0	0	0	1	1	0	0	0	0	0	0	0
EPHX2	0	0	0	2	1	1	2	1	1	0	0	0
FOSL1	3	1	2	6	0	6	0	0	0	0	0	0
POLB	8	8	0	0	0	0	1	1	0	0	0	0
DEF6	4	4	0	0	0	0	0	0	0	0	0	0
MYC	1	1	0	0	0	0	0	0	0	0	0	0
CASP4	1	1	0	3	0	3	2	1	1	0	0	0
RNF125	0	0	0	1	0	1	6	0	6	0	0	0
ITCH	1	0	1	2	0	2	0	0	0	0	0	0
KIAA0922	5	5	0	1	1	0	0	0	0	0	0	0
EGFR	6	5	1	0	0	0	0	0	0	0	0	0
DUS2L	2	2	0	1	0	1	0	0	0	0	0	0
HK2	0	0	0	1	0	1	0	0	0	0	0	0
STX6	0	0	0	0	0	0	1	0	1	0	0	0
SEMA4D	3	3	0	1	1	0	0	0	0	0	0	0
TRAP1	1	1	0	0	0	0	3	0	3	0	0	0
LLGL2	0	0	0	0	0	0	1	1	0	0	0	0
KLF7	13	11	2	0	0	0	9	9	0	0	0	0
SULT2B1	1	1	0	10	10	0	0	0	0	0	0	0
FAIM3	2	1	1	0	0	0	8	0	8	0	0	0
GPR109B	2	1	1	1	0	1	0	0	0	0	0	0
GALE	0	0	0	1	1	0	0	0	0	0	0	0
C10orf95	6	6	0	1	1	0	0	0	0	0	0	0
CTNND1	1	0	1	0	0	0	0	0	0	0	0	0
GSTP1	1	1	0	0	0	0	3	3	0	0	0	0
PLCG2	0	0	0	1	1	0	1	0	1	0	0	0
PRSS16	0	0	0	0	0	0	9	9	0	0	0	0
ADARB1	1	0	1	0	0	0	0	0	0	0	0	0
PCGF1	0	0	0	1	0	1	1	0	1	0	0	0
TSEN2	9	0	9	0	0	0	1	1	0	0	0	0
C19orf2	0	0	0	1	0	1	1	0	1	0	0	0
HOOK2	0	0	0	0	0	0	1	0	1	0	0	0
ATP1A1	3	1	2	1	1	0	1	0	1	0	0	0
SULT1A1	2	1	1	3	3	0	0	0	0	0	0	0
TCF20	1	0	1	8	8	0	2	2	0	0	0	0
MPP6	2	0	2	1	0	1	2	1	1	0	0	0
ZDHHC13	0	0	0	2	0	2	2	2	0	0	0	0
FSCN1	1	0	1	0	0	0	0	0	0	0	0	0
MKNK2	1	1	0	1	1	0	0	0	0	0	0	0
ATP6V1B2	12	7	5	3	3	0	1	1	0	1	0	0
BLCAP	0	0	0	1	0	1	0	0	0	0	0	0
PHLDA2	1	0	1	0	0	0	0	0	0	0	0	0
ESRRA	1	1	0	0	0	0	4	0	4	0	0	0
BCAP31	0	0	0	0	0	0	1	1	0	0	0	0
GOLGA8A	0	0	0	1	1	0	0	0	0	0	0	0
TNS4	1	1	0	0	0	0	0	0	0	0	0	0
DHX32	0	0	0	1	0	1	0	0	0	0	0	0
EXOSC4	0	0	0	1	1	0	22	13	9	0	0	0
PLS3	1	0	1	0	0	0	2	0	2	0	0	0
MCC	2	0	2	0	0	0	10	10	0	0	0	0
MPHOSPH6	0	0	0	0	0	0	2	2	0	0	0	0
PREP	0	0	0	2	0	2	2	0	2	0	0	0
RAPGEFL1	0	0	0	1	0	1	1	0	1	0	0	0
POLG2	1	0	1	0	0	0	0	0	0	0	0	0
RPL37A	1	1	0	0	0	0	0	0	0	0	0	0
MFN2	1	1	0	1	1	0	0	0	0	0	0	0
KIAA0196	0	0	0	8	0	8	4	2	2	0	0	0
CMAS	0	0	0	1	0	1	3	1	2	0	0	0
MFNG	1	1	0	1	0	1	2	0	2	0	0	0
PROCR	0	0	0	3	2	1	1	0	1	0	0	0
TBL3	0	0	0	5	0	5	2	0	2	0	0	0
CHD1	4	0	4	0	0	0	0	0	0	0	0	0
OBFC1	2	0	2	0	0	0	0	0	0	0	0	0
EFHD2	0	0	0	0	0	0	4	0	4	0	0	0
MKNK1	2	0	2	1	0	1	1	0	1	0	0	0
TGIF2	4	4	0	0	0	0	2	2	0	0	0	0
KCNK5	2	0	2	0	0	0	6	3	3	0	0	0
UQCRC2	4	3	1	4	0	4	3	2	1	0	0	0
