	Gene.ID	Stroma.pixels	Epithelium.pixels	Brown.Spots.in.Stroma	Brown.Spots.in.Epithelium	Nucleus.Pixels.in.Stroma	Nucleus.pixels.in.Epithelium
93	CEP55 	102250	8202	547	95	538	73
94	CEP55 	69897	3423	1784	271	1133	53
95	CEP55 	72950	10053	359	67	1436	322
96	CEP55 	106563	566	1262	8	896	4
97	CEP55 	44546	5418	926	152	1020	150
98	CHAD 	36910	86600	21	187	493	2800
99	CHAD 	48740	2876	428	38	294	35
100	CHAD 	11825	94147	26	69	821	6115
101	CHAD 	56290	69844	4472	4516	610	926
102	CHAD 	34066	75729	353	1282	183	507
103	CHAD 	3446	94522	7	277	85	3534
104	CHGA 	2113	108437	0	0	24	4026
105	CHGA 	10905	104497	0	0	265	3270
106	CHGA 	17161	24552	0	0	774	1161
107	CHGA 	14171	111938	0	0	322	5682
108	CHGA 	7857	48606	0	0	133	1251
109	CHGA 	14671	73984	0	0	329	2276
110	CKS1B 	22552	118106	7	49	1028	7340
111	CKS1B 	51688	104356	163	661	2107	4627
112	CKS1B 	26006	0	374	0	38	0
113	CKS1B 	116910	16040	3750	520	860	231
114	CKS1B 	51876	21120	859	506	581	483
115	CKS1B 	76099	55217	4503	3783	116	54
116	COX6C 	6612	100522	163	1675	569	9909
117	COX6C 	37747	79392	2193	4514	933	2677
118	COX6C 	10957	126492	298	4783	308	4454
119	COX6C 	81346	17689	1562	524	3132	907
120	COX6C 	96917	31271	853	385	5622	2338
121	COX6C 	55261	33774	2	4	903	924
122	CPB1 	11774	130656	13	134	244	3054
123	CPB1 	9838	87208	0	0	297	2934
124	CPB1 	33749	91064	0	0	620	2255
125	CPB1 	7026	84535	0	0	142	2923
126	CPB1 	5060	99967	0	0	67	1654
127	CPB1 	122845	4219	1312	73	982	24
128	DDX60 	0	92378	0	1920	0	5802
129	DDX60 	0	60063	0	6421	0	2476
130	DDX60 	0	10397	0	319	0	799
131	DDX60 	0	12337	0	238	0	350
132	DDX60 	0	12192	0	534	0	140
133	DDX60 	0	99226	0	1784	0	7582
134	DDX60 	0	48819	0	2330	0	1396
135	DENND5B 	0	947	0	0	0	34
136	DENND5B 	0	105196	0	44	0	6830
137	DENND5B 	0	79428	0	21	0	10699
138	DENND5B 	0	109271	0	12	0	7870
139	DENND5B 	0	103852	0	40	0	10863
140	DENND5B 	0	65170	0	8	0	10777
141	DENND5B 	0	71978	0	18	0	3851
142	DSC3 	0	28085	0	1	0	320
143	DSC3 	0	72249	0	0	0	2003
144	DSC3 	0	27160	0	98	0	738
145	DSC3 	0	14928	0	34	0	450
146	DSC3 	0	29831	0	1	0	1430
147	DSC3 	0	22893	0	107	0	1024
148	DSC3 	0	88488	0	0	0	1051
149	FAM5B 	6424	123425	2	25	531	11327
150	FAM5B 	36170	97227	214	440	1786	7393
151	FAM5B 	18961	102752	78	216	674	7998
152	FAM5B 	3827	95742	11	61	260	8540
153	FAM5B 	12113	24076	13	81	472	1377
154	FAM5B 	29636	106911	194	534	1120	8087
155	FAM5C 	96595	16994	61	39	440	425
156	FAM5C 	31013	65264	45	165	473	1039
157	FAM5C 	13394	100502	2	3	86	1242
158	FAM5C 	42570	32604	55	69	397	563
159	FAM5C 	58688	51128	124	193	1018	1326
160	FAM5C 	19601	76327	39	293	271	1948
161	FOXM1 	80885	34941	1043	515	2659	2097
162	FOXM1 	14875	139411	3296	26272	48	345
163	FOXM1 	77632	41612	549	538	533	278
164	FOXM1 	11283	51033	63	594	76	383
165	FOXM1 	52490	66036	292	250	5675	8405
166	FOXM1 	55146	65807	1193	2212	874	1921
167	FUT5 	12957	79774	0	2	1043	6024
168	FUT5 	16751	69698	6	31	710	4029
169	FUT5 	83073	14570	67	11	961	298
170	FUT5 	14259	126482	0	1	324	2338
171	FUT5 	19281	101346	4	16	337	2920
172	FUT5 	5378	127173	4	47	159	3371
173	GAD1 	1747	100311	0	0	109	4660
174	GAD1 	5089	75341	0	0	456	5338
175	GAD1 	7376	105734	0	0	428	5345
176	GAD1 	95843	12878	0	0	4592	868
177	GAD1 	1946	27896	0	0	214	2834
178	GAD1 	9905	87327	0	0	157	5150
179	GRIA2 	0	96644	0	1	0	3449
180	GRIA2 	0	53704	0	0	0	645
181	GRIA2 	0	4745	0	0	0	161
182	GRIA2 	0	59799	0	0	0	817
183	GRIA2 	0	70531	0	4509	0	1103
184	GRIA2 	0	24617	0	0	0	358
185	GRIA2 	0	43594	0	0	0	645
186	GSDMB 	0	101718	0	0	0	2358
187	GSDMB 	0	87143	0	4	0	1380
188	GSDMB 	0	104499	0	14	0	2892
189	GSDMB 	0	11105	0	1	0	320
190	GSDMB 	0	124779	0	0	0	10425
191	GSDMB 	0	31403	0	0	0	3356
192	GSDMB 	0	76395	0	0	0	6581
193	IFI27 	0	124579	0	71	0	6156
194	IFI27 	0	121873	0	13	0	4774
195	IFI27 	0	59517	0	9	0	1339
196	IFI27 	0	68624	0	67	0	2032
197	IFI27 	0	129548	0	71	0	6581
198	IFI27 	0	65983	0	0	0	9840
199	IFI27 	0	106127	0	10	0	15277
200	IFIH1 	136692	24981	216	28	3597	1053
201	IFIH1 	36015	115965	21	60	830	4668
202	IFIH1 	7047	145250	14	65	222	7071
203	IFIH1 	41648	70188	50	246	1458	4328
204	IFIH1 	28423	131474	21	136	672	4096
205	IFIH1 	145893	33423	3089	1463	3054	616
206	KIF20A 	25298	10974	483	412	404	307
207	KIF20A 	145726	3408	1946	68	783	61
208	KIF20A 	59173	7181	1122	280	1659	236
209	KIF20A 	106290	0	4810	0	430	0
210	KIF20A 	149756	2528	7970	187	844	26
211	KIF20A 	142021	0	3472	0	747	0
212	KIF4A 	62811	66574	2924	4724	950	1088
213	KIF4A 	125451	5406	334	8	499	44
214	KIF4A 	85343	50632	1759	1975	587	473
215	KIF4A 	136520	194	358	0	423	34
216	KIF4A 	70515	0	173	0	410	0
217	KIF4A 	103110	10181	823	279	1294	209
218	KRT6B 	22467	58367	1	0	303	1502
219	KRT6B 	16219	70684	3	3	1873	9085
220	KRT6B 	29177	73429	76	179	1136	6263
221	KRT6B 	26602	112702	0	0	1094	8303
222	KRT6B 	2490	13911	1	7	86	806
223	KRT6B 	112095	9460	10	0	3834	502
224	KYNU 	28100	94705	1152	7108	113	485
225	KYNU 	23658	68816	354	956	228	1125
226	KYNU 	15319	78019	0	0	662	5192
227	KYNU 	5424	121994	0	0	338	7657
228	KYNU 	63419	75015	380	1314	530	572
229	KYNU 	9275	17483	37	10	167	331
230	MGAM 	0	96308	0	3	0	3920
231	MGAM 	0	61212	0	1	0	1745
232	MGAM 	0	94090	0	1	0	4098
233	MGAM 	0	136944	0	0	0	5929
234	MGAM 	0	142237	0	0	0	7071
235	MGAM 	0	87664	0	0	0	2889
236	MGAM 	0	105036	0	0	0	3147
237	MUC4 	0	47934	0	4	0	2266
238	MUC4 	0	130099	0	0	0	5657
239	MUC4 	0	79985	0	2	0	4873
240	MUC4 	0	46251	0	23	0	1720
241	MUC4 	0	119555	0	2	0	13288
242	MUC4 	0	77585	0	20	0	10609
243	MUC4 	0	130396	0	0	0	11702
244	MYT1 	3643	113711	8	248	127	5997
245	MYT1 	3709	5735	5	5	242	347
246	MYT1 	10518	107257	0	1	476	4058
247	MYT1 	43458	49314	10	85	1148	1665
248	MYT1 	10361	66857	1	4	469	4230
249	MYT1 	3414	126648	0	1	345	13627
250	MYT1 	8883	74871	0	12	438	3900
251	OAS1 	0	21853	0	229	0	723
252	OAS1 	0	0	0	0	0	0
253	OAS1 	0	97705	0	11	0	5077
254	OAS1 	0	56433	0	1859	0	1247
255	OAS1 	0	77396	0	6	0	2779
256	OAS1 	0	66805	0	0	0	2830
257	OAS1 	0	67973	0	63	0	2108
258	OAS2 	0	43558	0	37	0	1057
259	OAS2 	0	4905	0	614	0	5
260	OAS2 	0	3732	0	412	0	5
261	OAS2 	0	73621	0	7066	0	53
262	OAS2 	0	45726	0	74	0	487
263	OAS2 	0	20963	0	1647	0	59
264	OAS2 	0	64319	0	5153	0	119
265	PCDH8 	0	64695	0	513	0	573
266	PCDH8 	0	37572	0	127	0	816
267	PCDH8 	0	37359	0	32	0	733
268	PCDH8 	0	51311	0	101	0	2026
269	PCDH8 	0	20249	0	70	0	193
270	PCDH8 	0	49665	0	360	0	1612
271	PCDH8 	0	17146	0	428	0	377
272	PIP 	0	2109	0	56	0	33
273	PIP 	0	27009	0	702	0	232
274	PIP 	0	35272	0	145	0	1153
275	PIP 	0	4243	0	33	0	175
276	PIP 	0	29350	0	3639	0	211
277	PIP 	0	5638	0	360	0	37
278	PIP 	0	36657	0	24	0	273
279	PROCR 	0	48888	0	1	0	3558
280	PROCR 	0	106846	0	3	0	1793
281	PROCR 	0	79091	0	1	0	3342
282	PROCR 	0	92512	0	1	0	6709
283	PROCR 	0	30078	0	7	0	1498
284	PROCR 	0	96060	0	6	0	3757
285	PROCR 	0	139288	0	6	0	21235
286	PSMD3 	9948	3714	66	41	16	3
287	PSMD3 	63719	61212	1042	1920	73	66
288	PSMD3 	20073	46206	22	51	433	926
289	PSMD3 	13145	13540	77	83	145	146
290	PSMD3 	8009	31189	0	2	938	2815
291	PSMD3 	116603	863	967	7	2927	24
292	RAP1GAP 	0	80352	0	9252	0	1041
293	RAP1GAP 	0	64886	0	14	0	5827
294	RAP1GAP 	0	51900	0	2601	0	1255
295	RAP1GAP 	0	6880	0	6	0	147
296	RAP1GAP 	0	113093	0	0	0	5625
297	RAP1GAP 	0	88313	0	3494	0	1338
298	RAP1GAP 	0	31074	0	1	0	718
299	RTP4 	83024	292	3786	13	851	8
300	RTP4 	81311	17487	2352	788	425	105
301	RTP4 	32158	17785	351	228	453	463
302	RTP4 	52535	1642	474	24	524	31
303	RTP4 	13477	68510	140	1229	206	748
304	RTP4 	40098	37365	248	203	424	389
305	RTP4 	34823	16034	590	172	734	691
306	RUNDC3A 	0	84559	0	1390	0	1935
307	RUNDC3A 	0	37206	0	1847	0	284
308	RUNDC3A 	0	30262	0	800	0	292
309	RUNDC3A 	0	81304	0	1111	0	1329
310	RUNDC3A 	0	37148	0	1957	0	207
311	RUNDC3A 	0	8816	0	326	0	86
312	RUNDC3A 	0	35074	0	797	0	155
313	S100A7 	1502	12829	0	0	3	393
314	S100A7 	102516	33633	1577	1471	1112	294
315	S100A7 	16313	33534	14	0	227	784
316	S100A7 	23769	84228	0	0	106	606
317	S100A7 	63238	58076	0	0	347	500
318	S100A7 	24459	85613	0	0	678	4926
319	S100A8 	97291	43927	3	12	1105	1320
320	S100A8 	47720	115849	98	72	1595	16270
321	S100A8 	102126	14439	319	10	3331	548
322	S100A8 	53303	99827	28	28	3802	7677
323	S100A8 	57312	30792	9	0	1749	2442
324	S100A8 	16135	114973	22	146	526	3682
325	SCG2 	5742	134747	0	3	290	6124
326	SCG2 	10612	100843	0	0	314	3827
327	SCG2 	83819	19005	738	256	932	308
328	SCG2 	27357	82691	4	47	558	4548
329	SCG2 	72338	57503	97	191	1168	1631
330	SCG2 	37168	78676	75	117	1571	4311
331	SCG2 	37073	24620	14	21	1417	1604
332	SERPINA3 	30333	72771	71	280	428	1136
333	SERPINA3 	0	2066	0	2	0	28
334	SERPINA3 	98913	9582	33	10	1373	657
335	SERPINA3 	63166	76246	206	462	1653	2520
336	SERPINA3 	145011	27032	25287	8234	699	27
337	SERPINA3 	80194	15950	1289	700	1530	390
338	TAT 	45729	72641	0	0	1475	3432
339	TAT 	6728	133167	0	0	372	10596
340	TAT 	19419	105128	7	57	297	2503
341	TAT 	28154	6535	3	2	186	70
342	TAT 	22519	75329	0	0	292	1878
343	TAT 	1986	82826	0	0	68	1843
344	VTCN1 	44985	47934	350	314	217	376
345	VTCN1 	26297	75728	71	61	659	2285
346	VTCN1 	57439	33608	459	233	533	615
347	VTCN1 	127342	5584	397	28	413	32
348	VTCN1 	21794	39627	293	268	396	1295
349	VTCN1 	112741	10791	455	73	1541	260
350	ACTA1 	37813	79542	956	1500	3017	7249
351	ACTA1 	55516	20304	299	80	638	400
352	ACTA1 	41810	75176	805	1837	631	1782
353	ACTA1 	78539	14839	549	87	2680	1001
354	ACTA1 	33340	72456	1334	2072	1592	4491
355	ACTA1 	649	456	1	0	26	23
356	ACVRL1 	37928	13698	4	2	580	326
357	ACVRL1 	7592	35300	0	0	136	1431
358	ACVRL1 	92216	30397	11	0	1670	1004
359	ACVRL1 	2227	56181	0	0	30	1017
360	ACVRL1 	6532	147482	0	0	223	5441
361	ACVRL1 	9131	98578	1	3	104	738
362	ALDOB 	44493	64936	598	991	1444	1580
363	ALDOB 	7141	138233	0	0	434	10104
364	ALDOB 	11458	104581	0	1	537	6224
365	ALDOB 	46766	98171	569	1579	1508	4089
366	ALDOB 	39046	62094	57	112	1220	2456
367	ALDOB 	8676	114295	16	192	392	5579
368	ALDOB 	1791	131366	0	0	137	10074
369	ALS2CR8 	41742	24023	152	303	1067	1140
370	ALS2CR8 	116297	27410	17323	5065	499	210
371	ALS2CR8 	109348	35529	12549	4641	579	214
372	ALS2CR8 	98897	53169	28331	13490	24	36
373	ALS2CR8 	63582	59033	278	339	1192	1875
374	ALS2CR8 	106058	29262	2939	1137	1144	478
375	ARL3 	137371	651	47700	249	558	0
376	ARL3 	44398	55090	1557	5955	287	806
377	ARL3 	77326	55033	1513	3796	376	335
378	ARL3 	71048	69619	32673	22936	256	378
379	ARL3 	4513	285	287	24	78	0
380	ARL3 	49223	64456	2204	3993	588	1200
381	ASPM 	101504	25150	797	218	456	107
382	ASPM 	43136	84854	266	399	116	624
383	ASPM 	46443	89720	655	1001	491	737
384	ASPM 	29083	93698	61	343	305	582
385	ASPM 	33017	85755	673	1896	28	85
386	ASPM 	20407	73334	102	516	125	1051
387	C2orf83 	5904	123098	0	13	636	13527
388	C2orf83 	16180	83009	0	0	618	4324
389	C2orf83 	1498	108516	0	0	106	7504
390	C2orf83 	3971	23415	0	0	257	1867
391	C2orf83 	13632	107831	0	4	256	3448
392	C2orf83 	26043	114783	1	0	507	3882
393	CCDC102B 	104380	36889	6190	3455	5877	2227
394	CCDC102B 	92201	1355	1286	9	393	17
395	CCDC102B 	86885	44633	6204	3607	2277	826
396	CCDC102B 	86321	42518	3088	1650	4205	2345
397	CCDC102B 	17171	13638	1493	1703	33	47
398	CCDC102B 	25290	3843	598	127	45	9
399	CCDC102B 	10929	113279	560	5613	538	5497
400	CEP170 	11487	12448	800	989	279	339
401	CEP170 	80624	38138	2338	1671	1458	1286
402	CEP170 	71124	80400	444	705	2993	5297
403	CEP170 	15688	125184	480	3514	1295	12901
404	CEP170 	10956	96476	0	0	144	1689
405	CEP170 	68980	25319	3121	1207	1660	639
406	CEP170 	11389	125837	301	3771	868	10947
407	CFTR 	37887	93108	3544	9232	1853	5523
408	CFTR 	1916	0	99	0	1	0
409	CFTR 	49338	64805	2136	710	2403	5884
410	CFTR 	41458	47472	28	30	306	655
411	CFTR 	109668	24037	2806	1528	71	13
412	CFTR 	58095	78552	2	1	341	745
413	CNKSR1 	47318	19863	171	91	283	97
414	CNKSR1 	107518	48030	34	8	507	325
415	CNKSR1 	98608	11622	472	102	658	349
416	CNKSR1 	40746	85472	600	2441	145	212
417	CNKSR1 	12867	21989	246	1131	134	370
418	CNKSR1 	31841	105346	197	948	210	792
419	CNKSR1 	24473	103301	50	310	203	1046
420	CSN2 	47554	83412	925	2219	328	560
421	CSN2 	42448	95218	0	2	1544	5159
422	CSN2 	21324	15323	5	1	951	770
423	CSN2 	64879	32609	1	8	769	2554
424	CSN2 	56907	60183	16	76	1486	2753
425	CSN2 	47124	80744	148	334	516	1134
426	DAZ2 	56003	43556	0	0	1145	1360
427	DAZ2 	1125	38264	0	0	58	1855
428	DAZ2 	76075	25453	10	3	1550	896
429	DAZ2 	50456	76119	0	0	969	2082
430	DAZ2 	15023	19182	0	0	514	560
431	DAZ2 	6420	19731	0	0	477	1594
432	DDX42 	36090	92687	678	2305	77	169
433	DDX42 	93370	42288	4253	2833	257	115
434	DDX42 	105390	9956	1298	242	606	73
435	DDX42 	36776	37852	289	424	589	804
436	DDX42 	21178	33578	119	1762	84	262
437	DDX42 	60018	30883	1406	1200	596	239
438	DNAL4 	4185	89747	9	74	59	1503
439	DNAL4 	12320	41663	0	1	706	2532
440	DNAL4 	9432	63399	36	123	126	1404
441	DNAL4 	42838	42276	5	10	1103	1640
442	DNAL4 	23218	33077	0	0	103	320
443	DNAL4 	41941	44413	443	483	762	1340
444	DPT 	48911	14531	12	4	270	149
445	DPT 	13885	111956	51	389	67	912
446	DPT 	43234	95973	1114	2447	171	501
447	DPT 	4831	231	38	6	11	0
448	DPT 	25978	75159	24	96	180	876
449	DPT 	29353	112029	171	705	258	1282
450	DPT 	115291	11659	125	12	1866	283
451	ENTPD1 	22004	111169	9	32	2863	17474
452	ENTPD1 	14383	87582	7	69	837	8545
453	ENTPD1 	46976	51030	81	282	2082	3013
454	ENTPD1 	9382	109889	23	607	273	5351
455	ENTPD1 	150427	1497	272	14	5432	112
456	ENTPD1 	48019	8155	93	19	1603	321
457	ENTPD1 	19695	69135	92	560	1463	6052
458	EPHB4 	50406	97129	40	157	2257	7495
459	EPHB4 	3487	135313	0	57	270	10298
460	EPHB4 	6582	137087	7	132	420	9885
461	EPHB4 	110383	38439	244	197	383	144
462	EPHB4 	6693	85149	0	1	863	7406
463	EPHB4 	22292	71978	39	111	209	776
464	EPM2A 	4910	86947	0	0	315	4876
465	EPM2A 	32027	45791	0	0	611	1266
466	EPM2A 	11231	43181	1	1	173	755
467	EPM2A 	32880	29873	706	978	372	436
468	EPM2A 	7609	63291	0	0	153	2660
469	EPM2A 	71262	47047	1711	2383	174	123
470	FOXRED2 	73804	64947	175	301	1239	2131
471	FOXRED2 	16422	117760	31	171	171	1783
472	FOXRED2 	1703	84629	77	1687	2	719
473	FOXRED2 	121634	8108	1685	300	1854	125
474	FOXRED2 	16422	117760	31	171	171	1783
475	FOXRED2 	25284	96610	43	262	472	3136
476	FOXRED2 	44880	78693	110	331	772	2314
477	FPR3 	46793	43531	22	35	465	755
478	FPR3 	59039	66504	4	7	407	761
479	FPR3 	29867	54968	360	878	303	892
480	FPR3 	90487	10907	10	4	238	111
481	FPR3 	31083	31135	6	14	111	283
482	FPR3 	12789	11167	10	24	59	69
483	GABRA6 	27329	26494	6	0	880	1189
484	GABRA6 	2771	100551	0	6	155	4321
485	GABRA6 	35969	59792	12	88	1023	2433
486	GABRA6 	79195	32053	9	1	600	549
487	GABRA6 	73596	28573	0	0	1252	678
488	GABRA6 	11855	76457	1	11	563	3967
489	GNAS 	41481	91220	401	758	875	2736
490	GNAS 	42719	86535	0	0	541	2371
491	GNAS 	30408	104082	1157	4367	44	240
492	GNAS 	6829	107354	0	3	346	5956
493	GNAS 	22169	113146	172	737	895	5001
494	GNAS 	39614	54554	448	1113	655	1148
495	HHIPL2 	1098	1616	0	1	42	49
496	HHIPL2 	34671	84786	0	0	206	2782
497	HHIPL2 	94401	33294	0	28	2083	1882
498	HHIPL2 	11683	75862	0	0	761	4932
499	HHIPL2 	5612	69468	0	0	450	4558
500	HHIPL2 	5004	111722	0	1	260	5034
501	HIST1H1B 	7568	7888	19	17	333	374
502	HIST1H1B 	110385	10192	1811	281	1998	214
503	HIST1H1B 	67016	37672	3	4	1605	1009
504	HIST1H1B 	21490	53794	17	42	1201	4082
505	HIST1H1B 	48013	102416	227	619	1339	3022
506	HIST1H1B 	113082	489	238	0	1468	18
507	HSPA12A 	6107	123329	26	379	317	6201
508	HSPA12A 	109957	3807	26	2	875	36
509	HSPA12A 	21092	35211	32	53	373	862
510	HSPA12A 	100647	1208	705	2	2893	46
511	HSPA12A 	39132	15855	13	8	1653	866
512	HSPA12A 	9054	65943	2	4	399	2660
513	HSPA12A 	101144	14879	195	24	814	191
514	HTR2A 	108691	11399	0	0	1903	444
515	HTR2A 	7785	119490	0	0	93	1522
516	HTR2A 	96998	27689	0	0	719	545
517	HTR2A 	39536	95592	0	4	352	1433
518	HTR2A 	8527	42573	1	0	222	1596
519	HTR2A 	11216	77227	1	1	839	6616
520	IPCEF1 	88644	33297	955	827	535	396
521	IPCEF1 	98666	14111	1162	416	592	136
522	IPCEF1 	90887	44172	689	904	312	333
523	IPCEF1 	85451	20969	2296	1773	508	94
524	IPCEF1 	7518	100653	321	4144	108	1323
525	IPCEF1 	44436	55538	189	403	539	898
526	IPCEF1 	32873	63972	184	774	315	922
527	KCNA1 	38006	50438	12	26	1775	3741
528	KCNA1 	95987	45000	658	345	2804	1491
529	KCNA1 	78604	13601	14	2	346	391
530	KCNA1 	83736	18923	554	144	477	159
531	KCNA1 	28102	122294	84	127	428	3632
532	KCNA1 	54799	83634	349	498	1676	3521
533	KCNQ4 	64459	27281	19	0	714	2594
534	KCNQ4 	21308	108104	0	14	476	3302
535	KCNQ4 	39114	40756	10	17	699	1755
536	KCNQ4 	33602	101683	5	7	852	4435
537	KCNQ4 	44607	88071	0	0	980	2747
538	KCNQ4 	59434	84310	0	0	786	1916
539	KCNQ4 	75177	41787	6	0	1132	2819
540	NPPC 	112355	20462	787	340	494	160
541	NPPC 	53160	83425	15	75	450	1412
542	NPPC 	90848	37211	1327	867	2021	964
543	NPPC 	42893	75307	186	338	401	1275
544	NPPC 	94286	49471	38	107	232	307
545	NPPC 	81932	30922	178	97	510	435
546	NPPC 	67362	51605	217	360	448	578
547	PGAP1 	49635	61749	29	65	813	1368
548	PGAP1 	41038	60765	45	123	791	1672
549	PGAP1 	79160	41699	52	27	1974	1512
550	PGAP1 	68335	43645	80	68	2040	1660
551	PGAP1 	1390	101029	6	100	83	6517
552	PGAP1 	6536	87489	42	328	326	4875
553	PGAP1 	8972	75987	2	23	361	4553
554	PLCL1 	31355	21522	235	203	378	348
555	PLCL1 	118062	24221	731	361	237	84
556	PLCL1 	120277	19418	1322	310	268	70
557	PLCL1 	91588	20093	1304	455	466	134
558	PLCL1 	97560	31984	146	164	464	312
559	PLCL1 	80651	32272	1262	677	413	259
560	PNMA2 	22832	78251	0	1	742	3443
561	PNMA2 	12207	136508	0	0	671	9411
562	PNMA2 	13656	134228	0	0	360	6164
563	PNMA2 	32741	102262	1	0	929	4802
564	PNMA2 	10330	123007	0	0	719	10898
565	PNMA2 	46942	60031	0	0	404	1136
566	PPEF1 	68734	24676	1101	476	820	412
567	PPEF1 	32363	1771	468	57	596	10
568	PPEF1 	95613	24221	13554	2577	176	94
569	PPEF1 	85177	12326	9253	1186	208	30
570	PPEF1 	117037	18137	14975	3274	230	36
571	PPEF1 	31338	61691	333	3713	416	1654
572	PPEF1 	89817	8648	2243	324	1004	120
573	PPP1R14D 	6434	130447	3	82	866	25501
574	PPP1R14D 	54813	73396	54	68	1852	9474
575	PPP1R14D 	20410	98869	1	1	545	4382
576	PPP1R14D 	27668	41769	0	1	351	2149
577	PPP1R14D 	11316	149202	14	75	1671	28001
578	PPP1R14D 	8852	114130	17	185	524	7209
579	PPP1R14D 	41417	66777	4	4	1076	4213
580	PRDM12 	5546	135792	4	66	357	11501
581	PRDM12 	5360	139223	1	3	665	18424
582	PRDM12 	1921	77702	0	0	131	10246
583	PRDM12 	5677	77712	0	2	472	6830
584	PRDM12 	24027	99947	0	1	2025	11809
