	probe	EntrezGene.ID	Gene.Symbol
geneid_6579	geneid_6579	6579	SLCO1A2
geneid_554250	geneid_554250	554250	LOC554250
geneid_285331	geneid_285331	285331	CCDC66
geneid_51616	geneid_51616	51616	TAF9B
geneid_8028	geneid_8028	8028	MLLT10
geneid_151254	geneid_151254	151254	ALS2CR11
geneid_924	geneid_924	924	CD7
geneid_84796	geneid_84796	84796	MGC13053
geneid_10580	geneid_10580	10580	SORBS1
geneid_26580	geneid_26580	26580	BSCL2
geneid_763	geneid_763	763	CA5A
geneid_23258	geneid_23258	23258	RAB6IP1
geneid_5877	geneid_5877	5877	RABIF
geneid_54942	geneid_54942	54942	C9orf6
geneid_57863	geneid_57863	57863	IGSF4B
geneid_10126	geneid_10126	10126	DNAL4
geneid_84947	geneid_84947	84947	SERAC1
geneid_5739	geneid_5739	5739	PTGIR
geneid_91433	geneid_91433	91433	RCCD1
geneid_162417	geneid_162417	162417	NAGS
geneid_90668	geneid_90668	90668	C14orf121
geneid_114044	geneid_114044	114044	MCM3APAS
geneid_144811	geneid_144811	144811	FLJ38725
geneid_9748	geneid_9748	9748	SLK
geneid_9826	geneid_9826	9826	ARHGEF11
geneid_3569	geneid_3569	3569	IL6
geneid_10952	geneid_10952	10952	SEC61B
geneid_220213	geneid_220213	220213	OTUD1
geneid_26135	geneid_26135	26135	SERBP1
geneid_5933	geneid_5933	5933	RBL1
geneid_3338	geneid_3338	3338	DNAJC4
geneid_84294	geneid_84294	84294	C8orf53
geneid_118856	geneid_118856	118856	MMP21
geneid_9738	geneid_9738	9738	CP110
geneid_754	geneid_754	754	PTTG1IP
geneid_5704	geneid_5704	5704	PSMC4
geneid_3757	geneid_3757	3757	KCNH2
geneid_164380	geneid_164380	164380	RP11-218C14.6
geneid_6259	geneid_6259	6259	RYK
geneid_25932	geneid_25932	25932	CLIC4
geneid_57706	geneid_57706	57706	DENND1A
geneid_10385	geneid_10385	10385	BTN2A2
geneid_121227	geneid_121227	121227	LRIG3
geneid_4336	geneid_4336	4336	MOBP
geneid_55667	geneid_55667	55667	DENND4C
geneid_10298	geneid_10298	10298	PAK4
geneid_26164	geneid_26164	26164	GTPBP5
geneid_64282	geneid_64282	64282	PAPD5
geneid_80093	geneid_80093	80093	FLJ14100
geneid_60	geneid_60	60	ACTB
geneid_54531	geneid_54531	54531	MIER2
geneid_5901	geneid_5901	5901	RAN
geneid_9159	geneid_9159	9159	PCSK7
geneid_64769	geneid_64769	64769	C1orf149
geneid_10251	geneid_10251	10251	SPRY3
geneid_317772	geneid_317772	317772	HIST2H2AB
geneid_83607	geneid_83607	83607	MGC4268
geneid_55559	geneid_55559	55559	UIP1
geneid_55888	geneid_55888	55888	ZNF167
geneid_3169	geneid_3169	3169	FOXA1
geneid_5830	geneid_5830	5830	PEX5
geneid_84232	geneid_84232	84232	MAF1
geneid_2981	geneid_2981	2981	GUCA2B
geneid_7881	geneid_7881	7881	KCNAB1
geneid_2316	geneid_2316	2316	FLNA
geneid_239	geneid_239	239	ALOX12
geneid_57703	geneid_57703	57703	KIAA1604
geneid_375759	geneid_375759	375759	C9orf50
geneid_340069	geneid_340069	340069	LOC340069
geneid_7178	geneid_7178	7178	TPT1
geneid_84750	geneid_84750	84750	FUT10
geneid_4698	geneid_4698	4698	NDUFA5
geneid_6780	geneid_6780	6780	STAU1
geneid_7728	geneid_7728	7728	ZNF175
geneid_92126	geneid_92126	92126	C18orf4
geneid_64411	geneid_64411	64411	CENTD3
geneid_6772	geneid_6772	6772	STAT1
geneid_132320	geneid_132320	132320	FLJ30655
geneid_10785	geneid_10785	10785	WDR4
geneid_114817	geneid_114817	114817	KIAA1920
geneid_1990	geneid_1990	1990	ELA1
geneid_57805	geneid_57805	57805	KIAA1967
geneid_55248	geneid_55248	55248	C1orf75
geneid_52	geneid_52	52	ACP1
geneid_283011	geneid_283011	283011	FLJ37201
geneid_4495	geneid_4495	4495	MT1G
geneid_79899	geneid_79899	79899	FLJ14213
geneid_10056	geneid_10056	10056	FARSLB
geneid_4014	geneid_4014	4014	LOR
geneid_55423	geneid_55423	55423	SIRPG
geneid_79839	geneid_79839	79839	CCDC102B
geneid_200916	geneid_200916	200916	RPL22L1
geneid_3035	geneid_3035	3035	HARS
geneid_29841	geneid_29841	29841	GRHL1
geneid_3292	geneid_3292	3292	HSD17B1
geneid_90060	geneid_90060	90060	CCDC120
geneid_80781	geneid_80781	80781	COL18A1
geneid_79663	geneid_79663	79663	HSPBAP1
geneid_4689	geneid_4689	4689	NCF4
geneid_6133	geneid_6133	6133	RPL9
geneid_8871	geneid_8871	8871	SYNJ2
geneid_5156	geneid_5156	5156	PDGFRA
geneid_5977	geneid_5977	5977	DPF2
geneid_23434	geneid_23434	23434	C3orf27
geneid_171568	geneid_171568	171568	POLR3H
geneid_649542	geneid_649542	649542	LOC649542
geneid_644489	geneid_644489	644489	LOC644489
geneid_9334	geneid_9334	9334	B4GALT5
geneid_26206	geneid_26206	26206	SPAG8
geneid_85406	geneid_85406	85406	DNAJC14
geneid_220164	geneid_220164	220164	DOK6
geneid_5073	geneid_5073	5073	PARN
geneid_6222	geneid_6222	6222	RPS18
geneid_54477	geneid_54477	54477	PLEKHA5
geneid_10578	geneid_10578	10578	GNLY
geneid_1058	geneid_1058	1058	CENPA
geneid_391112	geneid_391112	391112	OR6Y1
geneid_541578	geneid_541578	541578	CXorf40B
geneid_4507	geneid_4507	4507	MTAP
geneid_386617	geneid_386617	386617	KCTD8
geneid_28964	geneid_28964	28964	GIT1
geneid_9079	geneid_9079	9079	LDB2
geneid_10291	geneid_10291	10291	SF3A1
geneid_192134	geneid_192134	192134	B3GNT6
geneid_344967	geneid_344967	344967	LOC344967
geneid_4796	geneid_4796	4796	NFKBIL2
geneid_9510	geneid_9510	9510	ADAMTS1
geneid_126859	geneid_126859	126859	C1orf125
geneid_57050	geneid_57050	57050	SAS10
geneid_84869	geneid_84869	84869	CBR4
geneid_28778	geneid_28778	28778	IGLV6-57
geneid_4355	geneid_4355	4355	MPP2
geneid_113263	geneid_113263	113263	GLCCI1
geneid_23556	geneid_23556	23556	PIGN
geneid_4734	geneid_4734	4734	NEDD4
geneid_89797	geneid_89797	89797	NAV2
geneid_3920	geneid_3920	3920	LAMP2
geneid_84142	geneid_84142	84142	CCDC98
geneid_81858	geneid_81858	81858	SHARPIN
geneid_79966	geneid_79966	79966	SCD5
geneid_7016	geneid_7016	7016	TESK1
geneid_56204	geneid_56204	56204	KIAA1370
geneid_51763	geneid_51763	51763	SKIP
geneid_9611	geneid_9611	9611	NCOR1
geneid_4301	geneid_4301	4301	MLLT4
geneid_11331	geneid_11331	11331	PHB2
geneid_9099	geneid_9099	9099	USP2
geneid_23389	geneid_23389	23389	THRAP2
geneid_5441	geneid_5441	5441	POLR2L
geneid_10020	geneid_10020	10020	GNE
geneid_2324	geneid_2324	2324	FLT4
geneid_57761	geneid_57761	57761	TRIB3
geneid_90806	geneid_90806	90806	ANGEL2
geneid_10555	geneid_10555	10555	AGPAT2
geneid_5437	geneid_5437	5437	POLR2H
geneid_6660	geneid_6660	6660	SOX5
geneid_1849	geneid_1849	1849	DUSP7
geneid_27087	geneid_27087	27087	B3GAT1
geneid_285264	geneid_285264	285264	FLJ37228
geneid_11063	geneid_11063	11063	SOX30
geneid_11040	geneid_11040	11040	PIM2
geneid_55773	geneid_55773	55773	TBC1D23
geneid_10190	geneid_10190	10190	TXNDC9
geneid_165215	geneid_165215	165215	KIAA1946
geneid_23171	geneid_23171	23171	GPD1L
geneid_27072	geneid_27072	27072	VPS41
geneid_10226	geneid_10226	10226	M6PRBP1
geneid_6822	geneid_6822	6822	SULT2A1
geneid_79587	geneid_79587	79587	FLJ12118
geneid_54813	geneid_54813	54813	BTBD5
geneid_10634	geneid_10634	10634	GAS2L1
geneid_256987	geneid_256987	256987	SERINC5
geneid_55332	geneid_55332	55332	FLJ11259
geneid_813	geneid_813	813	CALU
geneid_23554	geneid_23554	23554	TSPAN12
geneid_124626	geneid_124626	124626	ZPBP2
geneid_79845	geneid_79845	79845	RNF122
geneid_80868	geneid_80868	80868	HCG4P6
geneid_4707	geneid_4707	4707	NDUFB1
geneid_9747	geneid_9747	9747	KIAA0738
geneid_83541	geneid_83541	83541	C20orf55
geneid_1041	geneid_1041	1041	CDSN
geneid_84188	geneid_84188	84188	MLSTD2
geneid_64446	geneid_64446	64446	DNAI2
geneid_54980	geneid_54980	54980	FLJ20558
geneid_7405	geneid_7405	7405	UVRAG
geneid_146434	geneid_146434	146434	ZNF597
geneid_55964	geneid_55964	55964	3-Sep
geneid_23439	geneid_23439	23439	ATP1B4
geneid_11341	geneid_11341	11341	SCRG1
geneid_93973	geneid_93973	93973	ACTR8
geneid_221395	geneid_221395	221395	GPR116
geneid_157680	geneid_157680	157680	VPS13B
geneid_7511	geneid_7511	7511	XPNPEP1
geneid_92906	geneid_92906	92906	HNRPLL
geneid_10163	geneid_10163	10163	WASF2
geneid_65124	geneid_65124	65124	ANKRD57
geneid_3054	geneid_3054	3054	HCFC1
geneid_51561	geneid_51561	51561	IL23A
geneid_5868	geneid_5868	5868	RAB5A
geneid_246213	geneid_246213	246213	SLC17A8
geneid_283777	geneid_283777	283777	FLJ39743
geneid_5871	geneid_5871	5871	MAP4K2
geneid_130916	geneid_130916	130916	MTERFD2
geneid_5724	geneid_5724	5724	PTAFR
geneid_2132	geneid_2132	2132	EXT2
geneid_84542	geneid_84542	84542	KIAA1841
geneid_51361	geneid_51361	51361	HOOK1
geneid_79802	geneid_79802	79802	KIAA1822L
geneid_81328	geneid_81328	81328	OR4A15
geneid_51605	geneid_51605	51605	CGI-09
geneid_1073	geneid_1073	1073	CFL2
geneid_5460	geneid_5460	5460	POU5F1
geneid_196707	geneid_196707	196707	FLJ12616
geneid_126375	geneid_126375	126375	FLJ38451
geneid_2872	geneid_2872	2872	MKNK2
geneid_11221	geneid_11221	11221	DUSP10
geneid_23710	geneid_23710	23710	GABARAPL1
geneid_81034	geneid_81034	81034	SLC25A32
geneid_57106	geneid_57106	57106	KLP1
geneid_27129	geneid_27129	27129	HSPB7
geneid_84274	geneid_84274	84274	COQ5
geneid_223117	geneid_223117	223117	SEMA3D
geneid_4440	geneid_4440	4440	MSI1
geneid_4993	geneid_4993	4993	OR2C1
geneid_285074	geneid_285074	285074	LOC285074
geneid_119016	geneid_119016	119016	CTGLF1
geneid_139599	geneid_139599	139599	MAGEE2
geneid_2346	geneid_2346	2346	FOLH1
geneid_134145	geneid_134145	134145	LOC134145
geneid_340348	geneid_340348	340348	TSPAN33
geneid_9340	geneid_9340	9340	GLP2R
geneid_58985	geneid_58985	58985	IL22RA1
geneid_1435	geneid_1435	1435	CSF1
geneid_1942	geneid_1942	1942	EFNA1
geneid_55246	geneid_55246	55246	CCDC25
geneid_313	geneid_313	313	AOAH
geneid_22798	geneid_22798	22798	LAMB4
geneid_55017	geneid_55017	55017	C14orf119
geneid_55194	geneid_55194	55194	C1orf78
geneid_64978	geneid_64978	64978	MRPL38
geneid_10256	geneid_10256	10256	CNKSR1
geneid_9595	geneid_9595	9595	PSCDBP
geneid_84894	geneid_84894	84894	LRRN6A
geneid_9508	geneid_9508	9508	ADAMTS3
geneid_6752	geneid_6752	6752	SSTR2
geneid_362	geneid_362	362	AQP5
geneid_1776	geneid_1776	1776	DNASE1L3
geneid_6207	geneid_6207	6207	RPS13
geneid_137492	geneid_137492	137492	VPS37A
geneid_317702	geneid_317702	317702	VN1R3
geneid_55542	geneid_55542	55542	DKFZp434O0320
geneid_285386	geneid_285386	285386	FAM79B
geneid_8761	geneid_8761	8761	PABPC4
geneid_164284	geneid_164284	164284	APCDD1L
geneid_54453	geneid_54453	54453	RIN2
geneid_23518	geneid_23518	23518	R3HDM1
geneid_1910	geneid_1910	1910	EDNRB
geneid_124565	geneid_124565	124565	MGC15523
geneid_90580	geneid_90580	90580	LOC90580
geneid_26289	geneid_26289	26289	AK5
geneid_55790	geneid_55790	55790	ChGn
geneid_23443	geneid_23443	23443	SLC35A3
geneid_64763	geneid_64763	64763	ZNF574
geneid_80271	geneid_80271	80271	ITPKC
geneid_136259	geneid_136259	136259	KLF14
geneid_55853	geneid_55853	55853	C10orf110
geneid_10318	geneid_10318	10318	TNIP1
geneid_23523	geneid_23523	23523	CABIN1
geneid_112495	geneid_112495	112495	C6orf51
geneid_26735	geneid_26735	26735	OR1L3
geneid_84159	geneid_84159	84159	ARID5B
geneid_84061	geneid_84061	84061	RP11-217H1.1
geneid_29116	geneid_29116	29116	MYLIP
geneid_6423	geneid_6423	6423	SFRP2
geneid_9252	geneid_9252	9252	RPS6KA5
geneid_51375	geneid_51375	51375	SNX7
geneid_415116	geneid_415116	415116	PIM3
geneid_51150	geneid_51150	51150	SDF4
geneid_253738	geneid_253738	253738	EBF3
geneid_407835	geneid_407835	407835	LOC407835
geneid_682	geneid_682	682	BSG
geneid_161198	geneid_161198	161198	CLEC14A
geneid_132625	geneid_132625	132625	ZFP42
geneid_89876	geneid_89876	89876	C3orf15
geneid_11234	geneid_11234	11234	HPS5
geneid_79230	geneid_79230	79230	ZNF557
geneid_7494	geneid_7494	7494	XBP1
geneid_5780	geneid_5780	5780	PTPN9
geneid_256643	geneid_256643	256643	CXorf23
geneid_51684	geneid_51684	51684	SUFU
geneid_545	geneid_545	545	ATR
geneid_55658	geneid_55658	55658	RNF126
geneid_84905	geneid_84905	84905	ZNF341
geneid_64344	geneid_64344	64344	HIF3A
geneid_3699	geneid_3699	3699	ITIH3
geneid_503538	geneid_503538	503538	FLJ23569
geneid_80854	geneid_80854	80854	SETD7
geneid_444	geneid_444	444	ASPH
geneid_347735	geneid_347735	347735	SERINC2
geneid_26060	geneid_26060	26060	APPL
geneid_56898	geneid_56898	56898	BDH2
geneid_140710	geneid_140710	140710	C20orf117
geneid_10000	geneid_10000	10000	AKT3
geneid_64746	geneid_64746	64746	ACBD3
geneid_647174	geneid_647174	647174	LOC647174
geneid_1797	geneid_1797	1797	DOM3Z
geneid_55245	geneid_55245	55245	C20orf44
geneid_375484	geneid_375484	375484	C5orf25
geneid_137392	geneid_137392	137392	FAM92A1
geneid_57582	geneid_57582	57582	KCNT1
geneid_3895	geneid_3895	3895	KTN1
geneid_55209	geneid_55209	55209	SETD5
geneid_1376	geneid_1376	1376	CPT2
geneid_22849	geneid_22849	22849	CPEB3
geneid_83878	geneid_83878	83878	USHBP1
geneid_55867	geneid_55867	55867	SLC22A11
geneid_5395	geneid_5395	5395	PMS2
geneid_734	geneid_734	734	C8orf1
geneid_5916	geneid_5916	5916	RARG
geneid_645524	geneid_645524	645524	FLJ36840
geneid_80208	geneid_80208	80208	KIAA1840
geneid_23365	geneid_23365	23365	ARHGEF12
geneid_115992	geneid_115992	115992	RNF166
geneid_84870	geneid_84870	84870	RSPO3
geneid_149469	geneid_149469	149469	C1orf84
geneid_1129	geneid_1129	1129	CHRM2
geneid_54665	geneid_54665	54665	RSBN1
geneid_22841	geneid_22841	22841	RAB11FIP2
geneid_5987	geneid_5987	5987	RFP
geneid_56061	geneid_56061	56061	UBPH
geneid_3434	geneid_3434	3434	IFIT1
geneid_139422	geneid_139422	139422	MAGEB10
geneid_80760	geneid_80760	80760	ITIH5
geneid_3360	geneid_3360	3360	HTR4
geneid_4354	geneid_4354	4354	MPP1
geneid_56990	geneid_56990	56990	CDC42SE2
geneid_353140	geneid_353140	353140	LCE2C
geneid_51691	geneid_51691	51691	LSM8
geneid_171023	geneid_171023	171023	ASXL1
geneid_168544	geneid_168544	168544	ZNF467
geneid_207063	geneid_207063	207063	DHRSX
geneid_5862	geneid_5862	5862	RAB2
geneid_4144	geneid_4144	4144	MAT2A
geneid_5453	geneid_5453	5453	POU3F1
geneid_1360	geneid_1360	1360	CPB1
geneid_159963	geneid_159963	159963	SLC5A12
geneid_346689	geneid_346689	346689	FLJ44186
geneid_5803	geneid_5803	5803	PTPRZ1
geneid_4129	geneid_4129	4129	MAOB
geneid_3119	geneid_3119	3119	HLA-DQB1
geneid_65986	geneid_65986	65986	ZBTB10
geneid_891	geneid_891	891	CCNB1
geneid_55215	geneid_55215	55215	KIAA1794
geneid_23107	geneid_23107	23107	MRPS27
geneid_7535	geneid_7535	7535	ZAP70
geneid_127670	geneid_127670	127670	TEDDM1
geneid_642864	geneid_642864	642864	LOC642864
geneid_23639	geneid_23639	23639	LRRC6
geneid_65110	geneid_65110	65110	UPF3A
geneid_8614	geneid_8614	8614	STC2
geneid_10438	geneid_10438	10438	C1D
geneid_6834	geneid_6834	6834	SURF1
geneid_151230	geneid_151230	151230	KLHL23
geneid_79414	geneid_79414	79414	LRFN3
geneid_5116	geneid_5116	5116	PCNT
geneid_51647	geneid_51647	51647	FAM96B
geneid_139135	geneid_139135	139135	PASD1
geneid_23108	geneid_23108	23108	GARNL4
geneid_26995	geneid_26995	26995	TRUB2
geneid_6996	geneid_6996	6996	TDG
geneid_3183	geneid_3183	3183	HNRPC
geneid_84741	geneid_84741	84741	MGC10997
geneid_324	geneid_324	324	APC
geneid_10973	geneid_10973	10973	ASCC3
geneid_6473	geneid_6473	6473	SHOX
geneid_55604	geneid_55604	55604	LRRC16
geneid_63922	geneid_63922	63922	CHTF18
geneid_10994	geneid_10994	10994	ILVBL
geneid_152137	geneid_152137	152137	CCDC50
geneid_51324	geneid_51324	51324	SPG21
geneid_9945	geneid_9945	9945	GFPT2
geneid_3720	geneid_3720	3720	JARID2
geneid_1758	geneid_1758	1758	DMP1
geneid_151011	geneid_151011	151011	10-Sep
geneid_57634	geneid_57634	57634	EP400
geneid_81610	geneid_81610	81610	FAM83D
geneid_8403	geneid_8403	8403	SOX14
geneid_3184	geneid_3184	3184	HNRPD
geneid_4715	geneid_4715	4715	NDUFB9
geneid_56131	geneid_56131	56131	PCDHB4
geneid_7105	geneid_7105	7105	TSPAN6
geneid_283687	geneid_283687	283687	C15orf37
geneid_10068	geneid_10068	10068	IL18BP
geneid_8228	geneid_8228	8228	PNPLA4
geneid_23636	geneid_23636	23636	NUP62
geneid_57826	geneid_57826	57826	RAP2C
geneid_1838	geneid_1838	1838	DTNB
geneid_2797	geneid_2797	2797	GNRH2
geneid_27034	geneid_27034	27034	ACAD8
geneid_29914	geneid_29914	29914	UBIAD1
geneid_124404	geneid_124404	124404	FLJ25410
geneid_246181	geneid_246181	246181	AFAR3
geneid_221191	geneid_221191	221191	Klkbl4
geneid_115703	geneid_115703	115703	SNX26
geneid_9321	geneid_9321	9321	TRIP11
geneid_374470	geneid_374470	374470	C12orf42
geneid_3167	geneid_3167	3167	HMX2
geneid_400	geneid_400	400	ARL1
geneid_9883	geneid_9883	9883	POM121
geneid_7936	geneid_7936	7936	RDBP
geneid_9681	geneid_9681	9681	DEPDC5
geneid_90134	geneid_90134	90134	KCNH7
geneid_54094	geneid_54094	54094	C21orf15
geneid_3854	geneid_3854	3854	KRT6B
geneid_6482	geneid_6482	6482	ST3GAL1
geneid_64764	geneid_64764	64764	CREB3L2
geneid_259239	geneid_259239	259239	WFDC11
geneid_29931	geneid_29931	29931	LOH3CR2A
geneid_5976	geneid_5976	5976	UPF1
geneid_1634	geneid_1634	1634	DCN
geneid_441244	geneid_441244	441244	LOC441244
geneid_10906	geneid_10906	10906	TRAFD1
geneid_35	geneid_35	35	ACADS
geneid_9605	geneid_9605	9605	C16orf7
geneid_201725	geneid_201725	201725	LOC201725
geneid_6154	geneid_6154	6154	RPL26
geneid_51552	geneid_51552	51552	RAB14
geneid_28227	geneid_28227	28227	PPP2R3B
geneid_51028	geneid_51028	51028	VPS36
geneid_1089	geneid_1089	1089	CEACAM4
geneid_4583	geneid_4583	4583	MUC2
geneid_5645	geneid_5645	5645	PRSS2
geneid_50865	geneid_50865	50865	HEBP1
geneid_642475	geneid_642475	642475	C8orf73
geneid_221120	geneid_221120	221120	ALKBH3
geneid_284058	geneid_284058	284058	KIAA1267
geneid_9632	geneid_9632	9632	SEC24C
geneid_6574	geneid_6574	6574	SLC20A1
geneid_2774	geneid_2774	2774	GNAL
geneid_4008	geneid_4008	4008	LMO7
geneid_63874	geneid_63874	63874	ABHD4
geneid_149371	geneid_149371	149371	EXOC8
geneid_203245	geneid_203245	203245	C9orf90
geneid_161823	geneid_161823	161823	ADAL
geneid_10728	geneid_10728	10728	PTGES3
geneid_168448	geneid_168448	168448	CDC14C
geneid_23224	geneid_23224	23224	SYNE2
geneid_202243	geneid_202243	202243	KENAE
geneid_387680	geneid_387680	387680	RP11-56A21.1
geneid_150483	geneid_150483	150483	TEKT4
geneid_7555	geneid_7555	7555	CNBP
geneid_114821	geneid_114821	114821	ZNF452
geneid_114782	geneid_114782	114782	KIAA1881
geneid_10100	geneid_10100	10100	TSPAN2
geneid_9689	geneid_9689	9689	BZW1
geneid_148423	geneid_148423	148423	C1orf52
geneid_5036	geneid_5036	5036	PA2G4
geneid_1660	geneid_1660	1660	DHX9
geneid_91392	geneid_91392	91392	ZNF502
geneid_2592	geneid_2592	2592	GALT
geneid_4779	geneid_4779	4779	NFE2L1
geneid_84722	geneid_84722	84722	PSRC1
geneid_114897	geneid_114897	114897	C1QTNF1
geneid_26354	geneid_26354	26354	GNL3
geneid_85367	geneid_85367	85367	KIAA1652
geneid_4738	geneid_4738	4738	NEDD8
geneid_339287	geneid_339287	339287	LOC339287
geneid_6751	geneid_6751	6751	SSTR1
geneid_1025	geneid_1025	1025	CDK9
geneid_4137	geneid_4137	4137	MAPT
geneid_4793	geneid_4793	4793	NFKBIB
geneid_146850	geneid_146850	146850	C17orf38
geneid_22992	geneid_22992	22992	FBXL11
geneid_51499	geneid_51499	51499	TRIAP1
geneid_23509	geneid_23509	23509	POFUT1
geneid_10776	geneid_10776	10776	ARPP-19
geneid_79026	geneid_79026	79026	AHNAK
geneid_140885	geneid_140885	140885	SIRPA
geneid_131890	geneid_131890	131890	GRK7
geneid_3680	geneid_3680	3680	ITGA9
geneid_257106	geneid_257106	257106	ARHGAP30
geneid_6156	geneid_6156	6156	RPL30
geneid_2264	geneid_2264	2264	FGFR4
geneid_4047	geneid_4047	4047	LSS
geneid_3586	geneid_3586	3586	IL10
geneid_23247	geneid_23247	23247	KIAA0556
geneid_80194	geneid_80194	80194	TMEM134
geneid_156	geneid_156	156	ADRBK1
geneid_114796	geneid_114796	114796	KIAA1908
geneid_55719	geneid_55719	55719	C10orf6
geneid_22909	geneid_22909	22909	KIAA1018
geneid_25960	geneid_25960	25960	GPR124
geneid_28988	geneid_28988	28988	DBNL
geneid_359787	geneid_359787	359787	DPPA3
geneid_4111	geneid_4111	4111	MAGEA12
geneid_26239	geneid_26239	26239	LCE2B
geneid_23243	geneid_23243	23243	ANKRD28
geneid_93	geneid_93	93	ACVR2B
geneid_55592	geneid_55592	55592	GOLGA2L1
geneid_55107	geneid_55107	55107	TMEM16A
geneid_23314	geneid_23314	23314	SATB2
geneid_84260	geneid_84260	84260	TCHP
geneid_9841	geneid_9841	9841	ZBTB24
geneid_57446	geneid_57446	57446	NDRG3
geneid_3903	geneid_3903	3903	LAIR1
geneid_162466	geneid_162466	162466	PHOSPHO1
geneid_327	geneid_327	327	APEH
geneid_246	geneid_246	246	ALOX15
geneid_26030	geneid_26030	26030	PLEKHG3
geneid_9774	geneid_9774	9774	BCLAF1
geneid_3888	geneid_3888	3888	KRT82
geneid_27349	geneid_27349	27349	MT
geneid_28991	geneid_28991	28991	COMMD5
geneid_478	geneid_478	478	ATP1A3
geneid_2917	geneid_2917	2917	GRM7
geneid_6205	geneid_6205	6205	RPS11
geneid_7562	geneid_7562	7562	ZNF708
geneid_55958	geneid_55958	55958	KLHL9
geneid_261726	geneid_261726	261726	TIPRL
geneid_8324	geneid_8324	8324	FZD7
geneid_6693	geneid_6693	6693	SPN
geneid_54502	geneid_54502	54502	FLJ20273
geneid_10172	geneid_10172	10172	ZNF256
geneid_57223	geneid_57223	57223	SMEK2
geneid_10208	geneid_10208	10208	USPL1
geneid_497190	geneid_497190	497190	LOC497190
geneid_6651	geneid_6651	6651	SON
geneid_55510	geneid_55510	55510	DDX43
geneid_7360	geneid_7360	7360	UGP2
geneid_57221	geneid_57221	57221	KIAA1244
geneid_4361	geneid_4361	4361	MRE11A
geneid_8341	geneid_8341	8341	HIST1H2BN
geneid_51699	geneid_51699	51699	VPS29
geneid_55631	geneid_55631	55631	LRRC40
geneid_6687	geneid_6687	6687	SPG7
geneid_3115	geneid_3115	3115	HLA-DPB1
geneid_124	geneid_124	124	ADH1A
geneid_7019	geneid_7019	7019	TFAM
geneid_4157	geneid_4157	4157	MC1R
geneid_8473	geneid_8473	8473	OGT
geneid_54101	geneid_54101	54101	RIPK4
geneid_283385	geneid_283385	283385	MORN3
geneid_83886	geneid_83886	83886	PRSS27
geneid_148304	geneid_148304	148304	C1orf74
geneid_153733	geneid_153733	153733	CCDC112
geneid_84305	geneid_84305	84305	WIBG
geneid_1579	geneid_1579	1579	CYP4A11
geneid_25979	geneid_25979	25979	DHRS7B
geneid_7058	geneid_7058	7058	THBS2
geneid_6672	geneid_6672	6672	SP100
geneid_202020	geneid_202020	202020	FLJ39653
geneid_55715	geneid_55715	55715	DOK4
geneid_3627	geneid_3627	3627	CXCL10
geneid_221718	geneid_221718	221718	C6orf218
geneid_2823	geneid_2823	2823	GPM6A
geneid_55879	geneid_55879	55879	GABRQ
geneid_1039	geneid_1039	1039	CDR2
geneid_84146	geneid_84146	84146	ZNF644
geneid_51105	geneid_51105	51105	PHF20L1
geneid_81617	geneid_81617	81617	CAB39L
geneid_91582	geneid_91582	91582	RPS19BP1
